molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,0.390989,0,1.65248,0,1.0632,0.856,0.61616,4.18784,1920,1080
1CRN  Crambin,327,337,1,2.86888,0,1.65488,0,1.04624,0.85488,0.61472,4.17072,1920,1080
1CRN  Crambin,327,337,2,0.364668,0,1.6936,0,1.0408,0.856,0.61664,4.20704,1920,1080
1CRN  Crambin,327,337,3,0.304726,0,1.6536,0,1.03632,0.85456,0.61632,4.1608,1920,1080
1CRN  Crambin,327,337,4,0.536382,0,1.65696,0,1.04112,0.856,0.616,4.17008,1920,1080
1CRN  Crambin,327,337,5,0.32193,0,1.6672,0,1.03568,0.8568,0.6208,4.18048,1920,1080
1CRN  Crambin,327,337,6,0.301128,0,1.65856,0,1.04288,0.85888,0.6128,4.17312,1920,1080
1CRN  Crambin,327,337,7,0.366142,0,1.66048,0,1.04096,0.85792,0.61712,4.17648,1920,1080
1CRN  Crambin,327,337,8,0.396601,0,1.65984,0,1.05392,0.85792,0.61424,4.18592,1920,1080
1CRN  Crambin,327,337,9,0.423326,0,1.65744,0,1.06064,0.8544,0.6128,4.18528,1920,1080
1CRN  Crambin,327,337,10,3.72263,0,1.65504,0,1.07328,0.85872,0.61296,4.2,1920,1080
1CRN  Crambin,327,337,11,0.376016,0,1.65488,0,1.03824,0.85312,0.60864,4.15488,1920,1080
1CRN  Crambin,327,337,12,0.294757,0,1.66096,0,1.03248,0.85344,0.612,4.15888,1920,1080
1CRN  Crambin,327,337,13,0.338267,0,1.66,0,1.03552,0.85264,0.61536,4.16352,1920,1080
1CRN  Crambin,327,337,14,0.301569,0,1.6584,0,1.03792,0.85216,0.61056,4.15904,1920,1080
1CRN  Crambin,327,337,15,0.351901,0,1.66384,0,1.0592,0.8576,0.61392,4.19456,1920,1080
1CRN  Crambin,327,337,16,0.307062,0,1.66,0,1.05136,0.86064,0.61712,4.18912,1920,1080
1CRN  Crambin,327,337,17,0.327046,0,1.65648,0,1.0384,0.85632,0.61312,4.16432,1920,1080
1CRN  Crambin,327,337,18,0.293367,0,1.66,0,1.02864,0.85376,0.61632,4.15872,1920,1080
1CRN  Crambin,327,337,19,0.323544,0,1.66464,0,1.03664,0.85824,0.62048,4.18,1920,1080
1CRN  Crambin,327,337,20,2.90827,0,1.65776,0,1.04592,0.85312,0.61184,4.16864,1920,1080
1CRN  Crambin,327,337,21,0.309403,0,1.66032,0,1.05408,0.852,0.61632,4.18272,1920,1080
1CRN  Crambin,327,337,22,0.344375,0,1.6568,0,1.0632,0.85488,0.6104,4.18528,1920,1080
1CRN  Crambin,327,337,23,0.337771,0,1.65968,0,1.04672,0.8544,0.61312,4.17392,1920,1080
1CRN  Crambin,327,337,24,27.5855,0,1.65632,0,1.0296,0.856,0.61824,4.16016,1920,1080
1CRN  Crambin,327,337,25,0.392329,0,1.6624,0,1.0576,0.85552,0.61264,4.18816,1920,1080
1CRN  Crambin,327,337,26,0.395199,0,3.88704,0,1.55392,1.216,0.88096,7.53792,1920,1080
1CRN  Crambin,327,337,27,0.59473,0,3.86544,0,1.54768,1.22736,0.88512,7.5256,1920,1080
1CRN  Crambin,327,337,28,3.59365,0,3.85328,0,1.58256,1.22848,0.888,7.55232,1920,1080
1CRN  Crambin,327,337,29,0.586082,0,8.69888,0,10.117,8.7216,6.37984,33.9173,1920,1080
