molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,3.49046,0.71968,1.65984,5.80112,2.54128,1.88464,0.61856,13.2251,1920,1080
1CRN  Crambin,327,337,1,0.517114,0.69632,1.65968,5.80256,2.50752,1.88,0.6128,13.1589,1920,1080
1CRN  Crambin,327,337,2,0.496825,0.67024,1.65872,5.81824,2.48656,1.8768,0.62256,13.1331,1920,1080
1CRN  Crambin,327,337,3,0.432075,0.7072,1.65952,5.78656,2.48864,1.88352,0.62512,13.1506,1920,1080
1CRN  Crambin,327,337,4,3.14189,0.68112,1.65712,5.8056,2.488,1.88144,0.62112,13.1344,1920,1080
1CRN  Crambin,327,337,5,0.540322,0.68928,1.66624,5.80176,2.47472,1.8752,0.62992,13.1371,1920,1080
1CRN  Crambin,327,337,6,0.801208,0.72608,1.65936,5.82784,2.55248,1.88352,0.6256,13.2749,1920,1080
1CRN  Crambin,327,337,7,0.57816,0.66928,1.65856,5.83296,2.53776,1.88752,0.61424,13.2003,1920,1080
1CRN  Crambin,327,337,8,2.82967,0.71424,1.66352,5.81904,2.51712,1.87872,0.61808,13.2107,1920,1080
1CRN  Crambin,327,337,9,0.491344,0.70512,1.66192,5.816,2.49296,1.8832,0.63248,13.1917,1920,1080
1CRN  Crambin,327,337,10,0.660483,0.73088,1.66096,5.8176,2.49104,1.8816,0.61552,13.1976,1920,1080
1CRN  Crambin,327,337,11,0.541057,0.73264,1.66032,5.81776,2.70288,1.88656,0.61328,13.4134,1920,1080
1CRN  Crambin,327,337,12,2.03209,0.69008,1.65584,5.7984,2.4736,1.88352,0.62848,13.1299,1920,1080
1CRN  Crambin,327,337,13,1.15471,0.70992,1.66704,5.78992,2.42544,1.89056,0.62208,13.105,1920,1080
1CRN  Crambin,327,337,14,0.868648,0.696,1.65632,5.79888,2.45088,1.8864,0.61808,13.1066,1920,1080
1CRN  Crambin,327,337,15,0.440361,0.69824,1.64928,5.80144,2.58832,1.88032,0.61648,13.2341,1920,1080
1CRN  Crambin,327,337,16,2.76165,0.68048,1.66256,5.82144,2.50864,1.87936,0.6184,13.1709,1920,1080
1CRN  Crambin,327,337,17,0.947071,0.69376,1.66208,5.82336,2.48368,1.8824,0.6176,13.1629,1920,1080
1CRN  Crambin,327,337,18,0.645298,0.6912,1.66176,5.7968,2.51424,1.88544,0.61296,13.1624,1920,1080
1CRN  Crambin,327,337,19,0.482933,0.69728,1.65888,5.8152,2.56112,1.87872,0.62272,13.2339,1920,1080
1CRN  Crambin,327,337,20,0.561817,0.69648,1.66304,5.81584,2.48528,1.88192,0.61248,13.155,1920,1080
1CRN  Crambin,327,337,21,0.356442,0.67376,1.69984,5.81888,2.50416,1.88048,0.62256,13.1997,1920,1080
1CRN  Crambin,327,337,22,0.376143,0.69792,1.6584,5.824,2.54288,1.87808,0.61664,13.2179,1920,1080
1CRN  Crambin,327,337,23,3.89099,0.6912,1.66048,5.81232,2.5008,1.90496,0.616,13.1858,1920,1080
1CRN  Crambin,327,337,24,0.455233,0.69136,1.65888,5.81408,2.54432,1.88096,0.61744,13.207,1920,1080
1CRN  Crambin,327,337,25,0.397554,0.69168,1.65296,5.8232,2.4728,1.88112,0.6176,13.1394,1920,1080
1CRN  Crambin,327,337,26,0.378163,0.69264,1.66,5.83616,2.51216,1.90224,0.6216,13.2248,1920,1080
1CRN  Crambin,327,337,27,3.34641,0.69056,1.66208,5.80384,2.47648,1.8904,0.6184,13.1418,1920,1080
1CRN  Crambin,327,337,28,0.486005,0.66944,1.66224,5.86608,2.53376,1.88368,0.61968,13.2349,1920,1080
1CRN  Crambin,327,337,29,0.418642,0.70512,1.65936,5.82848,2.47504,1.88464,0.61888,13.1715,1920,1080
1CRN  Crambin,327,337,30,0.370329,0.70352,1.65808,5.80736,2.47824,1.88144,0.61632,13.145,1920,1080
1CRN  Crambin,327,337,31,2.61962,0.68432,1.65648,5.80864,2.47408,1.88208,0.62064,13.1262,1920,1080
1CRN  Crambin,327,337,32,0.430225,0.70448,1.66064,5.8176,2.55584,1.8792,0.61808,13.2358,1920,1080
1CRN  Crambin,327,337,33,0.485961,0.70928,1.65776,5.81296,2.48416,1.88512,0.61776,13.167,1920,1080
1CRN  Crambin,327,337,34,0.387104,0.71024,1.6584,5.81104,2.4872,1.88112,0.62624,13.1742,1920,1080
1CRN  Crambin,327,337,35,2.09239,0.68752,1.65408,5.79616,2.4536,1.88144,0.62176,13.0946,1920,1080
1CRN  Crambin,327,337,36,0.391076,0.70368,1.65776,5.81152,2.48912,1.88064,0.61968,13.1624,1920,1080
1CRN  Crambin,327,337,37,0.404089,0.68752,1.66096,5.81744,2.48032,1.88816,0.6208,13.1552,1920,1080
1CRN  Crambin,327,337,38,0.498818,0.6888,1.66256,5.82112,2.484,1.88528,0.61424,13.156,1920,1080
1CRN  Crambin,327,337,39,1.93867,0.7048,1.6608,5.82176,2.48688,1.87984,0.616,13.1701,1920,1080
1CRN  Crambin,327,337,40,0.438516,0.71536,1.66112,5.79456,2.53152,1.88192,0.6216,13.2061,1920,1080
