molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,2.48732,0.70608,4.3648,14.5734,5.89312,4.64384,1.53152,31.7128,2880,1800
1CRN  Crambin,327,337,1,0.841974,0.7128,4.45904,14.5381,5.85696,4.64288,1.5272,31.737,2880,1800
1CRN  Crambin,327,337,2,0.530189,0.6608,4.32288,14.5307,5.88,4.63616,1.51824,31.5488,2880,1800
1CRN  Crambin,327,337,3,3.96393,0.688,4.3176,14.5654,5.9528,4.62608,1.51024,31.6602,2880,1800
1CRN  Crambin,327,337,4,0.594607,0.65392,4.32896,14.3491,5.79616,4.63664,1.51904,31.2838,2880,1800
1CRN  Crambin,327,337,5,0.542802,0.73984,4.32304,14.5229,6.16384,4.73552,1.52496,32.0101,2880,1800
1CRN  Crambin,327,337,6,0.766197,0.69456,4.3112,14.4954,6.30624,4.68224,1.53376,32.0234,2880,1800
1CRN  Crambin,327,337,7,0.651858,0.66208,4.54144,14.7438,5.89648,4.6456,1.51168,32.0011,2880,1800
1CRN  Crambin,327,337,8,2.04325,0.65024,4.31904,14.7171,6.31808,4.77616,1.53296,32.3136,2880,1800
1CRN  Crambin,327,337,9,0.738653,0.73952,4.30272,14.3736,5.8496,4.6544,1.5296,31.4494,2880,1800
1CRN  Crambin,327,337,10,0.744121,0.70816,4.45536,14.9066,5.84096,4.64816,1.5288,32.088,2880,1800
1CRN  Crambin,327,337,11,4.73556,0.70976,4.32576,14.3259,6.20528,4.78224,1.54192,31.8909,2880,1800
1CRN  Crambin,327,337,12,0.762771,0.672,4.4744,14.5272,5.8384,4.64464,1.5312,31.6878,2880,1800
1CRN  Crambin,327,337,13,0.617426,0.7144,4.31968,14.533,5.98512,4.63504,1.53616,31.7234,2880,1800
1CRN  Crambin,327,337,14,5.13016,0.75184,4.31616,14.3045,5.86816,4.64384,1.52448,31.409,2880,1800
1CRN  Crambin,327,337,15,0.788869,0.65744,4.3192,14.7253,5.8408,4.6384,1.52944,31.7106,2880,1800
1CRN  Crambin,327,337,16,1.02388,0.70704,4.32816,14.5203,5.8128,4.65008,1.54224,31.5606,2880,1800
1CRN  Crambin,327,337,17,0.974986,0.69392,4.36848,14.3797,6.09072,4.63296,1.51504,31.6808,2880,1800
