molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,0.521125,0.67536,1.65456,5.8144,2.49984,0.85296,0.61328,12.1104,1920,1080
1CRN  Crambin,327,337,1,0.95712,0.69024,1.6592,5.81168,2.54896,0.8608,0.62368,12.1946,1920,1080
1CRN  Crambin,327,337,2,0.831238,0.6968,1.65968,5.79952,2.48384,0.85408,0.62496,12.1189,1920,1080
1CRN  Crambin,327,337,3,11.1836,0.71968,1.65968,5.82144,2.56544,0.85552,0.61936,12.2411,1920,1080
1CRN  Crambin,327,337,4,0.457645,0.6584,1.6544,5.8096,2.53216,1.01104,0.71344,12.379,1920,1080
1CRN  Crambin,327,337,5,0.416649,0.66272,1.6568,5.79488,2.49264,0.86112,0.61088,12.079,1920,1080
1CRN  Crambin,327,337,6,0.439632,0.69024,1.65808,5.81376,2.52848,0.8608,0.62416,12.1755,1920,1080
1CRN  Crambin,327,337,7,0.551447,0.6928,1.65904,5.81152,2.53248,0.85456,0.61664,12.167,1920,1080
1CRN  Crambin,327,337,8,0.496613,0.72704,1.65344,5.81264,2.53936,0.85536,0.62016,12.208,1920,1080
1CRN  Crambin,327,337,9,0.480671,0.6896,1.65664,5.81008,2.47104,0.85728,0.61504,12.0997,1920,1080
1CRN  Crambin,327,337,10,0.418308,0.68688,1.65824,5.79392,2.4776,0.85744,0.61952,12.0936,1920,1080
1CRN  Crambin,327,337,11,2.26601,0.69312,1.65664,5.81648,2.58576,0.85456,0.61296,12.2195,1920,1080
1CRN  Crambin,327,337,12,0.412913,0.68928,1.65632,5.7936,2.44464,0.85456,0.61472,12.0531,1920,1080
1CRN  Crambin,327,337,13,0.449103,0.696,1.66208,5.80016,2.46752,0.8528,0.61488,12.0934,1920,1080
1CRN  Crambin,327,337,14,0.432047,0.76112,1.65696,5.82768,2.5552,0.85888,0.6208,12.2806,1920,1080
1CRN  Crambin,327,337,15,3.18031,0.69904,1.65888,5.80032,2.51232,0.85328,0.62672,12.1506,1920,1080
1CRN  Crambin,327,337,16,0.475876,0.7088,1.65856,5.80832,2.53456,0.85232,0.62448,12.187,1920,1080
1CRN  Crambin,327,337,17,0.614827,0.68512,1.66032,5.81424,2.51936,0.85584,0.62352,12.1584,1920,1080
1CRN  Crambin,327,337,18,0.466309,0.70256,1.6544,5.79968,2.50912,0.8576,0.6056,12.129,1920,1080
1CRN  Crambin,327,337,19,0.465262,0.67024,1.6592,5.82048,2.5928,0.868,0.61712,12.2278,1920,1080
1CRN  Crambin,327,337,20,1.20646,0.64816,1.66288,5.82176,2.53664,0.85728,0.62112,12.1478,1920,1080
1CRN  Crambin,327,337,21,0.631502,0.67424,1.66032,5.81232,2.53136,0.86048,0.61696,12.1557,1920,1080
1CRN  Crambin,327,337,22,0.408001,0.71552,1.6632,5.81296,2.43168,0.85552,0.61696,12.0958,1920,1080
1CRN  Crambin,327,337,23,0.510124,0.708,1.65552,5.80656,2.4672,0.85584,0.6152,12.1083,1920,1080
1CRN  Crambin,327,337,24,2.13421,0.70016,1.65472,5.81168,2.46528,0.8544,0.61648,12.1027,1920,1080
1CRN  Crambin,327,337,25,1.02862,0.6856,1.65696,5.83152,2.472,0.8528,0.62144,12.1203,1920,1080
1CRN  Crambin,327,337,26,0.66534,0.70224,1.66048,5.81872,2.59104,0.85776,0.62208,12.2523,1920,1080
1CRN  Crambin,327,337,27,0.591654,0.72416,1.66288,5.8096,2.55232,0.85696,0.61664,12.2226,1920,1080
1CRN  Crambin,327,337,28,3.20129,0.70048,1.65904,5.7968,2.47248,0.8528,0.62144,12.103,1920,1080
1CRN  Crambin,327,337,29,0.435533,0.70608,1.6592,5.81536,2.49072,0.84992,0.61584,12.1371,1920,1080
1CRN  Crambin,327,337,30,0.44226,0.73616,1.65584,5.81168,2.5136,0.8552,0.61776,12.1902,1920,1080
1CRN  Crambin,327,337,31,0.518865,0.70448,1.65952,5.81968,2.4664,0.85792,0.62752,12.1355,1920,1080
1CRN  Crambin,327,337,32,0.497656,0.71344,1.656,5.81984,2.48704,0.8544,0.61632,12.147,1920,1080
1CRN  Crambin,327,337,33,2.74026,0.708,1.65552,5.82544,2.62976,0.85408,0.61472,12.2875,1920,1080
1CRN  Crambin,327,337,34,0.415217,0.6984,1.66592,5.82,2.4704,0.85344,0.6216,12.1298,1920,1080
1CRN  Crambin,327,337,35,0.527176,0.68624,1.65792,5.7944,2.55792,0.85552,0.6192,12.1712,1920,1080
1CRN  Crambin,327,337,36,0.499888,0.69488,1.66,5.82736,2.50624,0.8544,0.61856,12.1614,1920,1080
1CRN  Crambin,327,337,37,4.76743,0.74496,1.65824,5.81264,2.46896,0.8528,0.6168,12.1544,1920,1080
1CRN  Crambin,327,337,38,0.357522,0.69552,2.13424,6.07952,2.48864,0.85168,0.61568,12.8653,1920,1080
1CRN  Crambin,327,337,39,0.486504,0.6984,1.65888,5.808,2.58512,0.85488,0.62272,12.228,1920,1080
1CRN  Crambin,327,337,40,0.399676,0.71136,1.6576,5.8144,2.57184,0.85632,0.61648,12.228,1920,1080
1CRN  Crambin,327,337,41,7.51355,0.72976,1.66304,5.81456,2.4848,0.85232,0.6168,12.1613,1920,1080
1CRN  Crambin,327,337,42,0.431087,0.68768,1.65552,5.79616,2.5224,0.91616,0.62272,12.2006,1920,1080
1CRN  Crambin,327,337,43,0.410312,0.7256,1.66368,5.81952,2.52768,0.85712,0.61856,12.2122,1920,1080
1CRN  Crambin,327,337,44,0.357103,0.68256,1.66224,5.8408,2.46672,0.85568,0.63104,12.139,1920,1080
1CRN  Crambin,327,337,45,3.73833,0.68704,1.65632,5.79488,2.43472,0.85424,0.6184,12.0456,1920,1080
1CRN  Crambin,327,337,46,0.416804,0.7096,1.6552,5.804,2.46048,0.85536,0.61584,12.1005,1920,1080
1CRN  Crambin,327,337,47,0.531577,0.7296,1.6552,5.81808,2.52912,0.85552,0.61824,12.2058,1920,1080
1CRN  Crambin,327,337,48,0.43127,0.69744,1.6576,5.81792,2.48928,0.85952,0.61392,12.1357,1920,1080
1CRN  Crambin,327,337,49,0.541918,0.69888,1.6632,5.79616,2.59376,0.84944,0.62016,12.2216,1920,1080
1CRN  Crambin,327,337,50,0.930389,0.70704,1.65664,5.81312,2.49312,0.8528,0.61568,12.1384,1920,1080
1CRN  Crambin,327,337,51,0.402056,0.70448,1.65424,5.82512,2.63584,0.85456,0.62336,12.2976,1920,1080
1CRN  Crambin,327,337,52,0.389427,0.71488,1.66096,5.8176,2.5664,0.85952,0.6232,12.2426,1920,1080
1CRN  Crambin,327,337,53,0.550408,0.70784,1.6504,5.81184,2.50608,0.85856,0.6296,12.1643,1920,1080
1CRN  Crambin,327,337,54,1.94829,0.64448,1.66048,5.79968,2.61728,0.85408,0.6304,12.2064,1920,1080
1CRN  Crambin,327,337,55,0.374734,0.66064,1.66176,5.81184,2.46944,0.8512,0.61152,12.0664,1920,1080
1CRN  Crambin,327,337,56,0.448169,0.7088,1.66032,5.80144,2.54304,0.85536,0.6248,12.1938,1920,1080
1CRN  Crambin,327,337,57,0.416599,0.69696,1.66208,5.80064,2.55648,0.85728,0.6192,12.1926,1920,1080
1CRN  Crambin,327,337,58,3.28164,0.66368,1.65296,5.82928,2.5416,0.85552,0.61328,12.1563,1920,1080
1CRN  Crambin,327,337,59,0.417201,0.69776,1.6584,5.82336,2.48416,0.85472,0.61184,12.1302,1920,1080
1CRN  Crambin,327,337,60,0.407032,0.69776,1.6536,5.812,2.48816,0.85632,0.62352,12.1314,1920,1080
1CRN  Crambin,327,337,61,0.420625,0.68336,1.65856,5.80912,2.50832,0.84512,0.62112,12.1256,1920,1080
1CRN  Crambin,327,337,62,0.480986,0.66336,1.6592,5.83072,2.44928,0.85312,0.61328,12.069,1920,1080
1CRN  Crambin,327,337,63,2.53834,0.72704,1.65824,6.0032,2.51536,0.85312,0.61936,12.3763,1920,1080
1CRN  Crambin,327,337,64,0.402928,0.70064,1.65552,5.80896,2.56688,0.85888,0.6096,12.2005,1920,1080
1CRN  Crambin,327,337,65,0.398754,0.7152,1.65824,5.82096,2.49936,0.85824,0.61312,12.1651,1920,1080
1CRN  Crambin,327,337,66,0.449368,0.66624,1.66288,5.80784,2.46112,0.8528,0.62608,12.077,1920,1080
1CRN  Crambin,327,337,67,1.31384,0.71008,1.6592,5.82304,2.49344,0.85392,0.63168,12.1714,1920,1080
1CRN  Crambin,327,337,68,0.429389,0.69024,1.6576,5.80528,2.45856,0.85632,0.6224,12.0904,1920,1080
1CRN  Crambin,327,337,69,0.436682,0.68992,1.65776,5.81856,2.61472,0.86032,0.62496,12.2662,1920,1080
1CRN  Crambin,327,337,70,0.402777,0.70736,1.6576,5.81856,2.588,0.85632,0.62464,12.2525,1920,1080
1CRN  Crambin,327,337,71,2.38592,0.64064,1.65584,5.80128,2.49968,0.8512,0.6136,12.0622,1920,1080
1CRN  Crambin,327,337,72,0.395165,0.69904,1.6576,5.82816,2.496,0.85408,0.61248,12.1474,1920,1080
1CRN  Crambin,327,337,73,0.382473,0.70224,1.65744,5.80096,2.49648,0.85472,0.61952,12.1314,1920,1080
1CRN  Crambin,327,337,74,0.632741,0.69984,1.65968,5.82624,2.46864,0.856,0.6152,12.1256,1920,1080
1CRN  Crambin,327,337,75,4.08469,0.70064,1.65872,5.80608,2.61488,0.86032,0.6208,12.2614,1920,1080
1CRN  Crambin,327,337,76,0.491078,0.6848,1.6584,5.80272,2.43968,0.8528,0.63024,12.0686,1920,1080
1CRN  Crambin,327,337,77,0.485716,0.64912,1.66208,5.80896,2.59328,0.85744,0.61328,12.1842,1920,1080
1CRN  Crambin,327,337,78,0.586662,0.68512,1.65664,5.82896,2.44832,0.85632,0.61648,12.0918,1920,1080
1CRN  Crambin,327,337,79,0.606566,0.68,1.66064,5.82624,2.50352,0.85184,0.61408,12.1363,1920,1080
1CRN  Crambin,327,337,80,1.8536,0.69264,1.65664,5.83984,2.46624,0.85456,0.62192,12.1318,1920,1080
1CRN  Crambin,327,337,81,0.545206,0.67296,1.65872,5.7968,2.49984,0.86416,0.61872,12.1112,1920,1080
1CRN  Crambin,327,337,82,0.703761,0.71024,1.66176,5.80832,2.47856,0.85664,0.62304,12.1386,1920,1080
1CRN  Crambin,327,337,83,0.63849,0.69824,1.66032,5.81408,2.60016,0.85616,0.6168,12.2458,1920,1080
1CRN  Crambin,327,337,84,3.13699,0.67936,1.65648,5.78992,2.53104,0.85392,0.6176,12.1283,1920,1080
1CRN  Crambin,327,337,85,0.502207,0.68128,1.65584,5.81696,2.50752,0.85216,0.6136,12.1274,1920,1080
1CRN  Crambin,327,337,86,0.51622,0.73168,1.65952,5.82288,2.524,0.85968,0.61504,12.2128,1920,1080
1CRN  Crambin,327,337,87,0.512381,0.67872,1.65696,5.8088,2.49184,0.8608,0.62848,12.1256,1920,1080
1CRN  Crambin,327,337,88,4.42178,0.70688,1.6568,5.8112,2.46944,0.8576,0.62336,12.1253,1920,1080
1CRN  Crambin,327,337,89,0.491235,0.64592,1.6544,5.80496,2.48592,0.85472,0.62288,12.0688,1920,1080
1CRN  Crambin,327,337,90,0.498193,0.70144,1.65792,5.80032,2.56368,0.85808,0.62544,12.2069,1920,1080
1CRN  Crambin,327,337,91,0.687252,0.70976,1.66112,5.81936,2.45376,0.85664,0.62208,12.1227,1920,1080
1CRN  Crambin,327,337,92,0.633428,0.69056,1.66736,5.82912,2.51232,0.85312,0.61792,12.1704,1920,1080
1CRN  Crambin,327,337,93,1.98005,0.71904,1.65984,5.81632,2.46512,0.85536,0.6168,12.1325,1920,1080
1CRN  Crambin,327,337,94,0.489812,0.6688,1.65792,5.81952,2.4808,0.85008,0.6264,12.1035,1920,1080
1CRN  Crambin,327,337,95,0.516326,0.73504,1.65584,5.8128,2.49024,0.8576,0.61616,12.1677,1920,1080
1CRN  Crambin,327,337,96,0.611693,0.70112,1.65808,5.7928,2.4848,0.85872,0.63296,12.1285,1920,1080
1CRN  Crambin,327,337,97,3.41665,0.63632,1.65504,5.78896,2.53728,0.85008,0.61152,12.0792,1920,1080
1CRN  Crambin,327,337,98,0.527418,0.73184,1.65568,5.81168,2.52704,0.84976,0.61328,12.1893,1920,1080
1CRN  Crambin,327,337,99,0.535463,0.70272,1.6576,5.81344,2.49488,0.85696,0.62016,12.1458,1920,1080
1CRN  Crambin,327,337,100,0.521353,0.69648,1.65776,5.81104,2.53056,0.84512,0.63136,12.1723,1920,1080
1CRN  Crambin,327,337,101,4.55155,0.70512,1.65808,5.82768,2.49648,0.8536,0.61648,12.1574,1920,1080
1CRN  Crambin,327,337,102,0.464205,0.64448,1.65648,5.8056,2.5192,0.85072,0.6168,12.0933,1920,1080
1CRN  Crambin,327,337,103,0.514153,0.6928,1.65472,5.81488,2.46464,0.85648,0.62016,12.1037,1920,1080
1CRN  Crambin,327,337,104,0.632622,0.6776,1.65824,5.8016,2.46848,0.85488,0.61888,12.0797,1920,1080
1CRN  Crambin,327,337,105,0.599776,0.70064,1.64752,5.8048,2.53968,0.86016,0.62064,12.1734,1920,1080
1CRN  Crambin,327,337,106,2.77388,0.69424,1.65536,5.83088,2.43616,0.85216,0.61824,12.087,1920,1080
1CRN  Crambin,327,337,107,0.536306,0.71264,1.6592,5.82912,2.52112,0.85584,0.60736,12.1853,1920,1080
1CRN  Crambin,327,337,108,0.51162,0.67568,1.66064,5.79648,2.58544,0.85776,0.62176,12.1978,1920,1080
1CRN  Crambin,327,337,109,0.535726,0.70352,1.65824,5.80976,2.52304,0.85184,0.61328,12.1597,1920,1080
1CRN  Crambin,327,337,110,3.37595,0.69088,1.65744,5.80832,2.58528,0.85248,0.62048,12.2149,1920,1080
1CRN  Crambin,327,337,111,0.390776,0.69888,1.6584,5.84576,2.50144,0.85408,0.61008,12.1686,1920,1080
1CRN  Crambin,327,337,112,0.516016,0.70544,1.6592,5.82048,2.51328,0.85664,0.616,12.171,1920,1080
1CRN  Crambin,327,337,113,0.464799,0.69792,1.6552,5.8056,2.54144,0.85264,0.61024,12.163,1920,1080
1CRN  Crambin,327,337,114,4.62243,0.7136,1.65904,5.80912,2.51696,0.85248,0.62016,12.1714,1920,1080
1CRN  Crambin,327,337,115,0.561449,0.67952,1.65664,5.80832,2.4872,0.8528,0.61552,12.1,1920,1080
1CRN  Crambin,327,337,116,0.440838,0.71024,1.6576,5.8184,2.57968,0.856,0.6256,12.2475,1920,1080
1CRN  Crambin,327,337,117,0.533343,0.65968,1.65408,5.79712,2.48864,0.85712,0.6112,12.0678,1920,1080
1CRN  Crambin,327,337,118,0.631374,0.70688,1.6584,5.79232,2.53312,0.8592,0.61744,12.1674,1920,1080
1CRN  Crambin,327,337,119,2.75549,0.688,1.65632,5.85728,2.528,0.85504,0.65776,12.2424,1920,1080
1CRN  Crambin,327,337,120,0.517666,0.7024,1.65328,5.78528,2.5784,0.85456,0.6112,12.1851,1920,1080
1CRN  Crambin,327,337,121,0.583711,0.69152,1.65648,5.82,2.54576,0.8584,0.62192,12.1941,1920,1080
1CRN  Crambin,327,337,122,0.618723,0.69424,1.66384,5.84096,2.47744,0.84928,0.62016,12.1459,1920,1080
1CRN  Crambin,327,337,123,3.83133,0.68752,1.65392,5.81248,2.48048,0.85392,0.61552,12.1038,1920,1080
1CRN  Crambin,327,337,124,0.474879,0.6888,1.66064,5.83952,2.43264,0.85296,0.61296,12.0875,1920,1080
1CRN  Crambin,327,337,125,0.484602,0.7056,1.6552,5.80848,2.47744,0.85584,0.63216,12.1347,1920,1080
1CRN  Crambin,327,337,126,0.581273,0.7096,1.6584,5.81296,2.50688,0.85536,0.61056,12.1538,1920,1080
1CRN  Crambin,327,337,127,0.696575,0.6896,1.65632,5.81152,2.4936,0.85216,0.61952,12.1227,1920,1080
1CRN  Crambin,327,337,128,1.14192,0.64144,1.66048,5.8048,2.47744,0.8536,0.61232,12.0501,1920,1080
1CRN  Crambin,327,337,129,0.513805,0.68528,1.65808,5.79552,2.51024,0.856,0.61584,12.121,1920,1080
1CRN  Crambin,327,337,130,0.608726,0.70016,1.65984,5.81344,2.43968,0.85568,0.62192,12.0907,1920,1080
1CRN  Crambin,327,337,131,0.660966,0.68208,1.66256,5.79952,2.56608,0.85824,0.62592,12.1944,1920,1080
1CRN  Crambin,327,337,132,3.00144,0.6968,1.6584,5.8304,2.51904,0.85264,0.65472,12.212,1920,1080
1CRN  Crambin,327,337,133,0.550932,0.69568,1.65744,5.80864,2.46624,0.85424,0.61216,12.0944,1920,1080
1CRN  Crambin,327,337,134,0.639111,0.69568,1.6576,5.80912,2.4872,0.8576,0.61424,12.1214,1920,1080
1CRN  Crambin,327,337,135,0.606451,0.68592,1.66144,5.79984,2.51328,0.85728,0.60944,12.1272,1920,1080
1CRN  Crambin,327,337,136,4.2208,0.70064,1.66144,5.81936,2.52928,0.85488,0.62352,12.1891,1920,1080
1CRN  Crambin,327,337,137,0.481948,0.70976,1.66032,5.85648,2.4776,0.852,0.6216,12.1778,1920,1080
1CRN  Crambin,327,337,138,0.49248,0.68768,1.66224,5.79648,2.50672,0.86096,0.6136,12.1277,1920,1080
1CRN  Crambin,327,337,139,0.489905,0.69616,1.6648,5.81312,2.53952,0.856,0.62,12.1896,1920,1080
1CRN  Crambin,327,337,140,0.641624,0.7064,1.65488,5.79536,2.44448,0.85376,0.6216,12.0765,1920,1080
1CRN  Crambin,327,337,141,1.80133,0.70016,1.65648,5.80272,2.54544,0.85312,0.61184,12.1698,1920,1080
1CRN  Crambin,327,337,142,0.506706,0.67968,1.65408,5.80944,2.61696,0.856,0.61296,12.2291,1920,1080
1CRN  Crambin,327,337,143,0.650594,0.71808,1.65392,5.80912,2.45648,0.85648,0.65872,12.1528,1920,1080
1CRN  Crambin,327,337,144,0.600707,0.71616,1.65824,5.8016,2.5264,0.856,0.624,12.1824,1920,1080
1CRN  Crambin,327,337,145,3.21085,0.66048,1.66064,5.80288,2.44032,0.85312,0.61184,12.0293,1920,1080
1CRN  Crambin,327,337,146,0.522018,0.69488,1.65728,5.85808,2.55232,0.85392,0.62096,12.2374,1920,1080
1CRN  Crambin,327,337,147,0.53594,0.69456,1.65792,5.79904,2.46432,0.86,0.61328,12.0891,1920,1080
1CRN  Crambin,327,337,148,0.523362,0.6648,1.66144,5.80272,2.57696,0.85888,0.62208,12.1869,1920,1080
1CRN  Crambin,327,337,149,4.09765,0.6896,1.66192,5.81888,2.52736,0.85904,0.61232,12.1691,1920,1080
1CRN  Crambin,327,337,150,0.411046,0.72768,1.66464,5.8104,2.4816,0.85376,0.61744,12.1555,1920,1080
1CRN  Crambin,327,337,151,0.408436,0.7,1.65952,5.81408,2.53376,0.8536,0.62784,12.1888,1920,1080
1CRN  Crambin,327,337,152,0.476086,0.70064,1.6576,5.79728,2.5208,0.8584,0.61696,12.1517,1920,1080
1CRN  Crambin,327,337,153,0.604086,0.71456,1.66336,5.81328,2.48896,0.85408,0.61984,12.1541,1920,1080
1CRN  Crambin,327,337,154,1.91619,0.68432,1.6552,5.81632,2.5768,0.85696,0.6136,12.2032,1920,1080
1CRN  Crambin,327,337,155,0.461662,0.71248,1.65456,5.81424,2.59984,0.85296,0.61584,12.2499,1920,1080
1CRN  Crambin,327,337,156,0.658908,0.7072,1.65728,5.79744,2.46464,0.85504,0.61504,12.0966,1920,1080
1CRN  Crambin,327,337,157,0.594705,0.73424,1.66368,5.83664,2.52288,0.86016,0.6184,12.236,1920,1080
1CRN  Crambin,327,337,158,3.32732,0.70496,1.65872,5.80848,2.49792,0.85568,0.61392,12.1397,1920,1080
1CRN  Crambin,327,337,159,0.550737,0.67328,1.6592,5.79552,2.57472,0.85984,0.61584,12.1784,1920,1080
1CRN  Crambin,327,337,160,0.53121,0.71904,1.69264,5.81712,2.4448,0.8608,0.6296,12.164,1920,1080
1CRN  Crambin,327,337,161,0.476366,0.69216,1.66096,5.81104,2.56528,0.84752,0.61952,12.1965,1920,1080
1CRN  Crambin,327,337,162,3.71139,0.68016,1.65952,5.81712,2.47104,0.84704,0.6232,12.0981,1920,1080
1CRN  Crambin,327,337,163,0.428098,0.69216,1.65776,5.81424,2.5816,0.86112,0.62464,12.2315,1920,1080
1CRN  Crambin,327,337,164,0.478541,0.6944,1.65872,5.82608,2.41856,0.85712,0.62928,12.0842,1920,1080
1CRN  Crambin,327,337,165,0.480564,0.68048,1.66,5.82032,2.55344,0.8568,0.62336,12.1944,1920,1080
1CRN  Crambin,327,337,166,0.376056,0.73184,1.64864,5.808,2.4928,0.85408,0.61296,12.1483,1920,1080
1CRN  Crambin,327,337,167,2.08542,0.6576,1.6576,5.79744,2.45408,0.85152,0.61408,12.0323,1920,1080
1CRN  Crambin,327,337,168,0.402744,0.6888,1.65712,5.8208,2.44528,0.85232,0.61968,12.084,1920,1080
1CRN  Crambin,327,337,169,0.416965,0.69184,1.66352,5.8152,2.4568,0.85936,0.61776,12.1045,1920,1080
1CRN  Crambin,327,337,170,0.425182,0.69936,1.66224,5.82416,2.48448,0.85856,0.6144,12.1432,1920,1080
1CRN  Crambin,327,337,171,2.91106,0.71456,1.66032,5.80368,2.52832,0.85504,0.62112,12.183,1920,1080
1CRN  Crambin,327,337,172,0.446285,0.692,1.6584,5.8112,2.53744,0.85152,0.61232,12.1629,1920,1080
1CRN  Crambin,327,337,173,0.556518,0.70032,1.6544,5.80928,2.50416,0.85744,0.6136,12.1392,1920,1080
1CRN  Crambin,327,337,174,0.5253,0.70736,1.66224,5.81184,2.4728,0.84688,0.62144,12.1226,1920,1080
1CRN  Crambin,327,337,175,4.6197,0.68208,1.66032,5.82256,2.49328,0.852,0.6192,12.1294,1920,1080
1CRN  Crambin,327,337,176,0.408463,0.68384,1.652,5.81072,2.41456,0.85216,0.61616,12.0294,1920,1080
1CRN  Crambin,327,337,177,0.42731,0.68016,1.6576,5.80576,2.56432,0.85632,0.62928,12.1934,1920,1080
1CRN  Crambin,327,337,178,0.457626,0.71024,1.65952,5.82272,2.51584,0.85776,0.61792,12.184,1920,1080
1CRN  Crambin,327,337,179,0.412908,0.6856,1.6504,5.8128,2.53648,0.85696,0.61936,12.1616,1920,1080
1CRN  Crambin,327,337,180,1.7463,0.712,1.65936,5.82928,2.4968,0.8536,0.61552,12.1666,1920,1080
1CRN  Crambin,327,337,181,0.408347,0.70512,1.65664,5.80064,2.50544,0.85152,0.63056,12.1499,1920,1080
1CRN  Crambin,327,337,182,0.527409,0.72208,1.65776,5.83344,2.56032,0.85792,0.62656,12.2581,1920,1080
1CRN  Crambin,327,337,183,0.527393,0.69056,1.6536,5.82016,2.48304,0.85936,0.61792,12.1246,1920,1080
1CRN  Crambin,327,337,184,3.56866,0.684,1.65872,5.82448,2.49168,0.85344,0.62608,12.1384,1920,1080
1CRN  Crambin,327,337,185,0.454625,0.7496,1.66256,5.8152,2.60144,0.85536,0.6264,12.3106,1920,1080
1CRN  Crambin,327,337,186,0.541597,0.71728,1.65984,5.82576,2.47872,0.86768,0.62144,12.1707,1920,1080
1CRN  Crambin,327,337,187,0.524613,0.70624,1.65792,5.82064,2.49488,0.8472,0.61328,12.1402,1920,1080
1CRN  Crambin,327,337,188,0.515133,0.69744,1.65632,5.80528,2.4336,0.85072,0.61104,12.0544,1920,1080
1CRN  Crambin,327,337,189,1.24853,0.70928,1.74352,5.81232,2.54976,0.85296,0.61344,12.2813,1920,1080
1CRN  Crambin,327,337,190,0.432716,0.71552,1.66368,5.8008,2.57328,0.86368,0.6128,12.2298,1920,1080
1CRN  Crambin,327,337,191,0.545461,0.69856,1.65984,5.81872,2.46688,0.85728,0.63264,12.1339,1920,1080
1CRN  Crambin,327,337,192,0.532275,0.69792,1.65136,5.80032,2.58832,0.86048,0.6224,12.2208,1920,1080
1CRN  Crambin,327,337,193,3.19832,0.6936,1.66016,5.80656,2.69776,0.8544,0.61504,12.3275,1920,1080
1CRN  Crambin,327,337,194,0.395563,0.71264,1.65616,5.79632,2.42656,0.85296,0.61824,12.0629,1920,1080
1CRN  Crambin,327,337,195,0.434454,0.67904,1.65568,5.81536,2.4872,0.85728,0.62832,12.1229,1920,1080
1CRN  Crambin,327,337,196,0.387018,0.68912,1.66016,5.81856,2.4392,0.85872,0.61888,12.0846,1920,1080
1CRN  Crambin,327,337,197,3.46818,0.69376,1.65952,5.8,2.532,0.8552,0.62912,12.1696,1920,1080
1CRN  Crambin,327,337,198,0.422142,0.70832,1.65696,5.80416,2.49376,0.85664,0.62,12.1398,1920,1080
1CRN  Crambin,327,337,199,0.434702,0.68432,1.6616,5.79632,2.5184,0.85632,0.62208,12.139,1920,1080
1CRN  Crambin,327,337,200,0.510175,0.69472,1.65488,5.80192,2.56048,0.848,0.61792,12.1779,1920,1080
1CRN  Crambin,327,337,201,5.36939,0.64976,1.66272,5.8024,2.48864,0.85328,0.60816,12.065,1920,1080
1CRN  Crambin,327,337,202,0.491373,0.67872,1.66048,5.81616,2.58688,0.85328,0.61712,12.2126,1920,1080
1CRN  Crambin,327,337,203,0.536387,0.70352,1.65664,5.8448,2.45392,0.85488,0.62384,12.1376,1920,1080
1CRN  Crambin,327,337,204,0.497966,0.7152,1.6592,5.82928,2.52624,0.85696,0.6136,12.2005,1920,1080
1CRN  Crambin,327,337,205,0.399198,0.67744,1.6624,5.80672,2.48448,0.856,0.61056,12.0976,1920,1080
