molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,0.415722,0,1.66528,5.81792,1.04848,1.8808,0.61872,11.0312,1920,1080
1CRN  Crambin,327,337,1,0.342498,0,1.6552,5.81024,1.05072,1.87712,0.6176,11.0109,1920,1080
1CRN  Crambin,327,337,2,0.414076,0,1.6568,5.80032,1.0528,1.88256,0.61616,11.0086,1920,1080
1CRN  Crambin,327,337,3,2.24149,0,1.65584,5.79952,1.04064,1.88016,0.61504,10.9912,1920,1080
1CRN  Crambin,327,337,4,0.429352,0,1.65728,5.8056,1.05296,1.8752,0.6184,11.0094,1920,1080
1CRN  Crambin,327,337,5,0.455593,0,1.65744,5.81328,1.0496,1.87584,0.62336,11.0195,1920,1080
1CRN  Crambin,327,337,6,0.479467,0,1.66032,5.81744,1.07328,1.87856,0.61376,11.0434,1920,1080
1CRN  Crambin,327,337,7,0.472708,0,1.66384,5.8288,1.04224,1.87456,0.61408,11.0235,1920,1080
1CRN  Crambin,327,337,8,1.86175,0,1.65696,5.82128,1.05152,1.87728,0.616,11.023,1920,1080
1CRN  Crambin,327,337,9,0.87844,0,1.6584,5.80464,1.04128,1.88544,0.61856,11.0083,1920,1080
1CRN  Crambin,327,337,10,0.481098,0,1.6552,5.81104,1.06544,1.8824,0.6192,11.0333,1920,1080
1CRN  Crambin,327,337,11,0.423519,0,1.66176,5.81392,1.05712,1.87888,0.61296,11.0246,1920,1080
1CRN  Crambin,327,337,12,4.59631,0,1.66304,5.80912,1.04368,1.8792,0.61952,11.0146,1920,1080
1CRN  Crambin,327,337,13,0.433993,0,1.66224,5.80672,1.03456,1.88544,0.62128,11.0102,1920,1080
1CRN  Crambin,327,337,14,0.549476,0,1.66032,5.81872,1.05776,1.88144,0.61888,11.0371,1920,1080
1CRN  Crambin,327,337,15,0.497775,0,1.6648,5.8104,1.06272,1.88,0.61488,11.0328,1920,1080
1CRN  Crambin,327,337,16,0.392801,0,1.65632,5.8104,1.07568,1.88496,0.61776,11.0451,1920,1080
1CRN  Crambin,327,337,17,2.72463,0,1.65568,5.80672,1.05344,1.87536,0.62592,11.0171,1920,1080
1CRN  Crambin,327,337,18,0.440754,0,1.65616,5.79072,1.05008,1.8872,0.61168,10.9958,1920,1080
1CRN  Crambin,327,337,19,0.416454,0,1.65968,5.8032,1.0632,1.88128,0.62224,11.0296,1920,1080
1CRN  Crambin,327,337,20,0.426942,0,1.66304,5.80272,1.05184,1.87696,0.62272,11.0173,1920,1080
1CRN  Crambin,327,337,21,0.479529,0,1.66592,5.8104,1.04976,1.87744,0.61872,11.0222,1920,1080
1CRN  Crambin,327,337,22,2.07187,0,1.65504,5.82352,1.04592,1.87152,0.616,11.012,1920,1080
1CRN  Crambin,327,337,23,0.422148,0,1.65904,5.81424,1.09184,1.8768,0.61264,11.0546,1920,1080
1CRN  Crambin,327,337,24,0.409406,0,1.65648,5.8192,1.05632,1.87808,0.61648,11.0266,1920,1080
1CRN  Crambin,327,337,25,0.625943,0,1.65504,5.81584,1.04752,1.86944,0.61504,11.0029,1920,1080
1CRN  Crambin,327,337,26,20.8607,0,1.65904,5.80208,1.06608,1.88384,0.62176,11.0328,1920,1080
1CRN  Crambin,327,337,27,0.424902,0,1.65488,5.82048,1.0632,1.87456,0.62352,11.0366,1920,1080
1CRN  Crambin,327,337,28,0.354295,0,1.66864,5.8,1.0576,1.87936,0.62016,11.0258,1920,1080
1CRN  Crambin,327,337,29,1.02918,0,1.65648,5.79936,1.06896,1.8856,0.61488,11.0253,1920,1080
1CRN  Crambin,327,337,30,0.758454,0,1.66192,5.8096,1.05984,1.88224,0.62464,11.0382,1920,1080
1CRN  Crambin,327,337,31,0.432096,0,1.65648,5.81648,1.05056,1.88032,0.61904,11.0229,1920,1080
1CRN  Crambin,327,337,32,1.59065,0,1.65472,5.81088,1.05088,1.87968,0.61552,11.0117,1920,1080
1CRN  Crambin,327,337,33,0.602517,0,1.66288,5.80816,1.06496,1.88288,0.62672,11.0456,1920,1080
1CRN  Crambin,327,337,34,1.21343,0,1.65408,5.79456,1.0576,1.876,0.6136,10.9958,1920,1080
1CRN  Crambin,327,337,35,0.549811,0,1.656,5.80896,1.06688,1.88256,0.62048,11.0349,1920,1080
1CRN  Crambin,327,337,36,0.678133,0,1.65632,5.78752,1.07936,1.87504,0.6136,11.0118,1920,1080
1CRN  Crambin,327,337,37,0.592314,0,1.66608,5.80944,1.07536,1.88368,0.60944,11.044,1920,1080
1CRN  Crambin,327,337,38,0.48656,0,1.65936,5.81024,1.04176,1.88496,0.62368,11.02,1920,1080
1CRN  Crambin,327,337,39,0.401861,0,1.66176,5.83328,1.05248,1.8768,0.61968,11.044,1920,1080
1CRN  Crambin,327,337,40,0.399578,0,1.65808,5.80512,1.05312,1.86896,0.616,11.0013,1920,1080
1CRN  Crambin,327,337,41,3.11159,0,1.66032,5.81472,1.06032,1.88416,0.6144,11.0339,1920,1080
1CRN  Crambin,327,337,42,0.414781,0,1.66032,5.80144,1.0624,1.87632,0.61488,11.0154,1920,1080
1CRN  Crambin,327,337,43,0.490123,0,1.65824,5.80736,1.0504,1.8792,0.61184,11.007,1920,1080
1CRN  Crambin,327,337,44,0.532653,0,1.65968,5.81104,1.04944,1.8832,0.61648,11.0198,1920,1080
1CRN  Crambin,327,337,45,0.535697,0,1.65536,5.80096,1.04176,1.87632,0.61408,10.9885,1920,1080
1CRN  Crambin,327,337,46,4.00115,0,1.65664,5.81776,1.07088,1.8768,0.64112,11.0632,1920,1080
1CRN  Crambin,327,337,47,0.44232,0,1.66208,5.81456,1.04816,1.87872,0.6192,11.0227,1920,1080
1CRN  Crambin,327,337,48,0.401848,0,1.6552,5.80944,1.05232,1.8792,0.61648,11.0126,1920,1080
1CRN  Crambin,327,337,49,0.422195,0,1.66192,5.7856,1.05472,1.87824,0.61888,10.9994,1920,1080
1CRN  Crambin,327,337,50,0.378057,0,1.65504,5.80272,1.0488,1.88048,0.62128,11.0083,1920,1080
1CRN  Crambin,327,337,51,2.50423,0,1.65264,5.84736,1.06912,1.88512,0.61248,11.0667,1920,1080
1CRN  Crambin,327,337,52,0.435075,0,1.65808,5.80288,1.04448,1.87984,0.61056,10.9958,1920,1080
1CRN  Crambin,327,337,53,0.390075,0,1.66192,5.82128,1.06864,1.87904,0.61408,11.045,1920,1080
1CRN  Crambin,327,337,54,0.357111,0,1.66032,5.812,1.06208,1.86768,0.62272,11.0248,1920,1080
1CRN  Crambin,327,337,55,2.9461,0,1.66128,5.81744,1.05216,1.88272,0.6112,11.0248,1920,1080
1CRN  Crambin,327,337,56,0.377941,0,1.65968,5.81328,1.05408,1.87312,0.62,11.0202,1920,1080
1CRN  Crambin,327,337,57,0.368168,0,1.65808,5.80384,1.0408,1.88368,0.6152,11.0016,1920,1080
1CRN  Crambin,327,337,58,0.483521,0,1.65712,5.80224,1.05312,1.8816,0.62416,11.0182,1920,1080
