molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,0.398,0.69808,1.65616,0,2.51056,1.87584,0.6176,7.35824,1920,1080
1CRN  Crambin,327,337,1,0.361249,0.70384,1.65808,0,2.48112,1.87808,0.61536,7.33648,1920,1080
1CRN  Crambin,327,337,2,0.328622,0.72576,1.65744,0,2.53536,1.87792,0.61392,7.4104,1920,1080
1CRN  Crambin,327,337,3,0.363635,0.708,1.66096,0,2.5272,1.876,0.61408,7.38624,1920,1080
1CRN  Crambin,327,337,4,28.0536,0.75008,1.6608,0,2.60176,1.9064,0.6104,7.52944,1920,1080
1CRN  Crambin,327,337,5,0.39871,0.72096,1.65696,0,2.50512,1.87632,0.60848,7.36784,1920,1080
1CRN  Crambin,327,337,6,0.333041,1.72208,3.8712,0,5.04352,4.14176,0.8776,15.6562,1920,1080
1CRN  Crambin,327,337,7,0.540254,1.71824,3.88384,0,5.10704,4.14192,0.88544,15.7365,1920,1080
1CRN  Crambin,327,337,8,3.08623,1.66112,3.87584,0,6.19744,4.12224,0.6624,16.519,1920,1080
1CRN  Crambin,327,337,9,1.6973,1.51568,3.47536,0,3.9944,3.03808,0.63136,12.6549,1920,1080
1CRN  Crambin,327,337,10,0.441291,1.0816,2.25248,0,2.844,2.1184,0.6136,8.91008,1920,1080
1CRN  Crambin,327,337,11,0.399001,0.72928,1.66352,0,2.58176,1.89536,0.61776,7.48768,1920,1080
1CRN  Crambin,327,337,12,0.401133,0.65264,1.66672,0,2.55904,1.88224,0.61504,7.37568,1920,1080
1CRN  Crambin,327,337,13,0.407543,0.72048,1.65408,0,2.47344,1.87872,0.61328,7.34,1920,1080
1CRN  Crambin,327,337,14,3.50228,0.74128,1.6616,0,2.55072,1.88528,0.62592,7.4648,1920,1080
1CRN  Crambin,327,337,15,0.477717,0.68416,1.66624,0,2.53504,1.87952,0.6104,7.37536,1920,1080
1CRN  Crambin,327,337,16,0.419592,0.71632,1.66112,0,2.48416,1.92256,0.60992,7.39408,1920,1080
1CRN  Crambin,327,337,17,0.524401,0.70464,1.66352,0,2.59264,1.88224,0.61904,7.46208,1920,1080
1CRN  Crambin,327,337,18,0.448907,0.69952,1.66432,0,2.49856,1.88528,0.62,7.36768,1920,1080
1CRN  Crambin,327,337,19,0.441149,0.71184,1.66272,0,2.50336,1.87856,0.61536,7.37184,1920,1080
1CRN  Crambin,327,337,20,3.57641,0.71792,1.65968,0,2.58928,1.88048,0.61584,7.4632,1920,1080
1CRN  Crambin,327,337,21,0.434629,0.72944,1.66384,0,2.52528,1.88448,0.61856,7.4216,1920,1080
1CRN  Crambin,327,337,22,0.813361,0.70528,1.6608,0,2.55184,1.88208,0.61504,7.41504,1920,1080
1CRN  Crambin,327,337,23,0.444307,0.72032,1.65936,0,2.61168,1.88576,0.61168,7.4888,1920,1080
1CRN  Crambin,327,337,24,0.474735,0.71152,1.66544,0,2.4616,1.8808,0.6152,7.33456,1920,1080
1CRN  Crambin,327,337,25,0.48828,0.69216,1.66512,0,2.4704,1.87456,0.62016,7.3224,1920,1080
1CRN  Crambin,327,337,26,4.33207,0.71328,1.66592,0,2.5248,1.87904,0.6136,7.39664,1920,1080
1CRN  Crambin,327,337,27,0.42387,0.696,1.66448,0,2.5608,1.88352,0.61296,7.41776,1920,1080
1CRN  Crambin,327,337,28,0.396815,0.70256,1.66448,0,2.47008,1.88464,0.61536,7.33712,1920,1080
1CRN  Crambin,327,337,29,0.388444,0.6984,1.66384,0,2.55968,1.88,0.6112,7.41312,1920,1080
1CRN  Crambin,327,337,30,0.373971,0.69888,1.6616,0,2.5576,1.87824,0.61456,7.41088,1920,1080
1CRN  Crambin,327,337,31,0.31888,0.69696,1.66352,0,2.60256,1.8856,0.61824,7.46688,1920,1080
1CRN  Crambin,327,337,32,0.381564,0.65984,1.66528,0,2.544,1.88208,0.61856,7.36976,1920,1080
1CRN  Crambin,327,337,33,3.31537,0.70112,1.66208,0,2.44496,1.88624,0.61984,7.31424,1920,1080
1CRN  Crambin,327,337,34,0.415474,0.73264,1.65968,0,2.5344,1.87888,0.6152,7.4208,1920,1080
1CRN  Crambin,327,337,35,0.431066,0.7112,1.66304,0,2.54192,1.87888,0.61088,7.40592,1920,1080
1CRN  Crambin,327,337,36,0.412875,0.71968,1.66304,0,2.53504,1.87952,0.6184,7.41568,1920,1080
1CRN  Crambin,327,337,37,0.419429,0.70176,1.66,0,2.49008,1.88576,0.6136,7.3512,1920,1080
1CRN  Crambin,327,337,38,0.439401,0.75264,1.65456,0,2.55744,1.8808,0.60992,7.45536,1920,1080
1CRN  Crambin,327,337,39,19.1212,0.71264,1.66288,0,2.48752,1.88352,0.61856,7.36512,1920,1080
1CRN  Crambin,327,337,40,0.783203,0.71696,1.66224,0,2.47056,1.87696,0.616,7.34272,1920,1080
1CRN  Crambin,327,337,41,0.370453,0.71728,1.6616,0,2.47376,1.88144,0.62048,7.35456,1920,1080
1CRN  Crambin,327,337,42,0.524743,0.70288,1.66208,0,2.52768,1.88064,0.6128,7.38608,1920,1080
1CRN  Crambin,327,337,43,0.378748,0.69648,1.66656,0,2.62416,1.87248,0.61568,7.47536,1920,1080
1CRN  Crambin,327,337,44,0.382267,0.71376,1.65584,0,2.51456,1.88032,0.61584,7.38032,1920,1080
1CRN  Crambin,327,337,45,0.343601,0.71312,1.7048,0,2.524,1.87776,0.616,7.43568,1920,1080
1CRN  Crambin,327,337,46,3.56501,0.71728,1.66,0,2.60432,1.88688,0.61328,7.48176,1920,1080
1CRN  Crambin,327,337,47,0.529457,0.7088,1.65936,0,2.62224,1.88016,0.61664,7.4872,1920,1080
1CRN  Crambin,327,337,48,0.52266,0.69552,1.65728,0,2.51104,1.87984,0.61536,7.35904,1920,1080
1CRN  Crambin,327,337,49,0.53902,0.73376,1.66816,0,2.5352,1.8832,0.61696,7.43728,1920,1080
1CRN  Crambin,327,337,50,0.335394,0.70848,1.66352,0,2.52384,1.88384,0.62576,7.40544,1920,1080
1CRN  Crambin,327,337,51,0.558833,0.69392,1.66528,0,2.54032,1.88256,0.60688,7.38896,1920,1080
1CRN  Crambin,327,337,52,0.626814,0.74048,1.66832,0,2.46464,1.8856,0.6176,7.37664,1920,1080
1CRN  Crambin,327,337,53,1.2893,0.7264,1.68352,0,2.51712,1.87712,0.61648,7.42064,1920,1080
1CRN  Crambin,327,337,54,0.961141,0.64784,1.66352,0,2.51312,1.87616,0.61088,7.31152,1920,1080
1CRN  Crambin,327,337,55,0.603852,0.7304,1.66432,0,2.492,1.87872,0.612,7.37744,1920,1080
1CRN  Crambin,327,337,56,0.6217,0.6592,1.6608,0,2.63552,1.87856,0.60944,7.44352,1920,1080
1CRN  Crambin,327,337,57,0.446358,0.6976,1.66976,0,2.57072,1.8824,0.62032,7.4408,1920,1080
1CRN  Crambin,327,337,58,0.380326,0.71504,1.65296,0,2.504,1.88448,0.61536,7.37184,1920,1080
1CRN  Crambin,327,337,59,2.43591,0.69584,1.664,0,2.552,1.87952,0.61184,7.4032,1920,1080
1CRN  Crambin,327,337,60,0.416992,0.70368,1.66624,0,2.61632,1.88128,0.61056,7.47808,1920,1080
1CRN  Crambin,327,337,61,0.408936,0.71168,1.66656,0,2.63088,1.88,0.61488,7.504,1920,1080
1CRN  Crambin,327,337,62,0.38937,0.65056,1.66528,0,2.54128,1.88352,0.61888,7.35952,1920,1080
1CRN  Crambin,327,337,63,0.472006,0.69056,1.66064,0,2.45888,1.8816,0.6184,7.31008,1920,1080
1CRN  Crambin,327,337,64,0.401299,0.70256,1.65856,0,2.58032,1.87376,0.61392,7.42912,1920,1080
1CRN  Crambin,327,337,65,5.14851,0.73632,1.66336,0,2.50624,1.876,0.61664,7.39856,1920,1080
1CRN  Crambin,327,337,66,0.460741,0.724,1.66448,0,2.51776,1.9072,0.61536,7.4288,1920,1080
1CRN  Crambin,327,337,67,0.387996,0.70912,1.66224,0,2.58176,1.88,0.61264,7.44576,1920,1080
1CRN  Crambin,327,337,68,0.389606,0.72864,1.66528,0,2.54,1.87648,0.61984,7.43024,1920,1080
1CRN  Crambin,327,337,69,0.484875,0.72416,1.66448,0,2.57744,1.88288,0.61424,7.4632,1920,1080
1CRN  Crambin,327,337,70,0.478463,0.70432,1.664,0,2.4872,1.88256,0.612,7.35008,1920,1080
1CRN  Crambin,327,337,71,0.391119,0.69184,1.66688,0,2.44368,1.88192,0.61264,7.29696,1920,1080
1CRN  Crambin,327,337,72,4.12156,0.69104,1.66224,0,2.57264,1.8776,0.6128,7.41632,1920,1080
1CRN  Crambin,327,337,73,0.347362,0.73504,1.66576,0,3.03056,2.05296,0.62272,8.10704,1920,1080
1CRN  Crambin,327,337,74,0.342478,0.68672,1.66512,0,2.56224,1.88096,0.61024,7.40528,1920,1080
1CRN  Crambin,327,337,75,0.422787,0.68848,1.66304,0,2.56272,1.88272,0.61456,7.41152,1920,1080
1CRN  Crambin,327,337,76,0.364085,0.72016,1.66496,0,2.48672,1.876,0.61568,7.36352,1920,1080
1CRN  Crambin,327,337,77,0.360806,0.69152,1.65536,0,2.52048,1.88,0.61568,7.36304,1920,1080
1CRN  Crambin,327,337,78,6.3517,0.71824,1.65984,0,2.48656,1.87744,0.61376,7.35584,1920,1080
1CRN  Crambin,327,337,79,0.383487,0.70704,1.664,0,2.53056,1.87712,0.61152,7.39024,1920,1080
1CRN  Crambin,327,337,80,0.342491,0.70608,1.66336,0,2.50864,1.89776,0.61168,7.38752,1920,1080
1CRN  Crambin,327,337,81,0.349,0.66,1.66464,0,2.5512,1.8808,0.61616,7.3728,1920,1080
1CRN  Crambin,327,337,82,0.363197,0.68224,1.66544,0,2.60944,1.88336,0.61328,7.45376,1920,1080
1CRN  Crambin,327,337,83,0.404703,0.70944,1.6616,0,2.53008,1.8808,0.61616,7.39808,1920,1080
1CRN  Crambin,327,337,84,1.29501,0.708,1.65472,0,2.45424,1.88032,0.6152,7.31248,1920,1080
1CRN  Crambin,327,337,85,0.34101,0.70672,1.66528,0,2.4824,1.88336,0.61232,7.35008,1920,1080
1CRN  Crambin,327,337,86,0.336161,0.7544,1.6632,0,2.50016,1.8824,0.61808,7.41824,1920,1080
1CRN  Crambin,327,337,87,0.397297,0.66896,1.65888,0,2.54656,1.88128,0.61584,7.37152,1920,1080
1CRN  Crambin,327,337,88,0.363349,0.68992,1.66912,0,2.58144,1.88336,0.61792,7.44176,1920,1080
1CRN  Crambin,327,337,89,0.335839,0.7112,1.6576,0,2.56256,1.88512,0.61248,7.42896,1920,1080
1CRN  Crambin,327,337,90,2.23369,0.68896,1.66432,0,2.60656,1.8864,0.60992,7.45616,1920,1080
1CRN  Crambin,327,337,91,0.395996,0.72176,1.66416,0,2.49792,1.88032,0.61056,7.37472,1920,1080
1CRN  Crambin,327,337,92,0.342601,0.66784,1.66288,0,2.47392,1.88016,0.61088,7.29568,1920,1080
1CRN  Crambin,327,337,93,0.384609,0.70304,1.66016,0,2.53088,1.87776,0.612,7.38384,1920,1080
1CRN  Crambin,327,337,94,0.37416,0.68176,1.6632,0,2.48944,1.87936,0.6312,7.34496,1920,1080
1CRN  Crambin,327,337,95,0.473791,0.692,1.66528,0,2.46704,1.87264,0.62336,7.32032,1920,1080
1CRN  Crambin,327,337,96,3.74635,0.70224,1.65712,0,2.53216,1.87856,0.62064,7.39072,1920,1080
1CRN  Crambin,327,337,97,0.353371,0.6944,1.7792,0,2.55728,1.88112,0.62,7.532,1920,1080
1CRN  Crambin,327,337,98,0.400712,0.68064,1.66272,0,2.54976,1.87792,0.61104,7.38208,1920,1080
1CRN  Crambin,327,337,99,0.477093,0.71456,1.66608,0,2.47472,1.88288,0.61312,7.35136,1920,1080
1CRN  Crambin,327,337,100,0.398098,0.69824,1.66704,0,2.52992,1.88192,0.6232,7.40032,1920,1080
1CRN  Crambin,327,337,101,0.487424,0.7152,1.66672,0,2.55136,1.87968,0.6144,7.42736,1920,1080
1CRN  Crambin,327,337,102,0.598994,0.69856,1.66336,0,2.61376,1.88624,0.61632,7.47824,1920,1080
1CRN  Crambin,327,337,103,2.50169,0.72224,1.65952,0,2.54928,1.8832,0.61376,7.428,1920,1080
1CRN  Crambin,327,337,104,0.482719,0.68944,1.66384,0,2.52688,1.8776,0.61328,7.37104,1920,1080
1CRN  Crambin,327,337,105,0.459509,0.73376,1.66352,0,2.508,1.88064,0.61344,7.39936,1920,1080
1CRN  Crambin,327,337,106,0.471626,0.69808,1.66224,0,2.50624,1.87824,0.61808,7.36288,1920,1080
1CRN  Crambin,327,337,107,0.418675,0.69136,1.66112,0,2.5416,1.8832,0.61408,7.39136,1920,1080
1CRN  Crambin,327,337,108,0.462031,0.696,1.65904,0,2.552,1.87776,0.61088,7.39568,1920,1080
1CRN  Crambin,327,337,109,4.15244,0.71312,1.66592,0,2.49392,1.88208,0.61248,7.36752,1920,1080
1CRN  Crambin,327,337,110,0.346083,0.72832,1.68128,0,3.06224,1.88512,0.60976,7.96672,1920,1080
1CRN  Crambin,327,337,111,0.328952,0.72896,1.66944,0,2.5952,1.87904,0.62288,7.49552,1920,1080
1CRN  Crambin,327,337,112,0.357547,0.6848,1.66592,0,2.62048,1.88048,0.61328,7.46496,1920,1080
1CRN  Crambin,327,337,113,0.377856,0.69872,1.66432,0,2.55696,1.87744,0.61344,7.41088,1920,1080
1CRN  Crambin,327,337,114,0.381005,0.71056,1.66832,0,2.504,1.8816,0.6176,7.38208,1920,1080
1CRN  Crambin,327,337,115,2.27364,0.70464,1.66064,0,2.49504,1.88496,0.61424,7.35952,1920,1080
1CRN  Crambin,327,337,116,0.405692,0.7032,1.66304,0,2.58848,1.8792,0.6104,7.44432,1920,1080
1CRN  Crambin,327,337,117,0.371643,0.7272,1.65968,0,2.54976,1.87888,0.61024,7.42576,1920,1080
1CRN  Crambin,327,337,118,0.455639,0.70752,1.66336,0,2.52544,1.8744,0.61744,7.38816,1920,1080
1CRN  Crambin,327,337,119,0.465192,0.73184,1.66992,0,2.5328,1.88384,0.62,7.4384,1920,1080
1CRN  Crambin,327,337,120,0.445951,0.71392,1.66176,0,2.51712,1.8736,0.61632,7.38272,1920,1080
1CRN  Crambin,327,337,121,3.14704,0.70032,1.66224,0,2.50928,1.87952,0.61232,7.36368,1920,1080
1CRN  Crambin,327,337,122,0.437838,0.7184,1.66768,0,2.51856,1.87504,0.60912,7.3888,1920,1080
1CRN  Crambin,327,337,123,0.383303,0.7144,1.66432,0,2.58736,1.88256,0.61408,7.46272,1920,1080
1CRN  Crambin,327,337,124,0.379187,0.7272,1.66032,0,2.51504,1.87552,0.61504,7.39312,1920,1080
1CRN  Crambin,327,337,125,0.367223,0.67008,1.6616,0,2.55392,1.88256,0.62,7.38816,1920,1080
1CRN  Crambin,327,337,126,0.44332,0.692,1.66112,0,2.5768,1.87936,0.61808,7.42736,1920,1080
1CRN  Crambin,327,337,127,0.64996,0.70128,1.66512,0,2.51024,1.88112,0.61792,7.37568,1920,1080
1CRN  Crambin,327,337,128,2.11679,0.69376,1.66576,0,2.56192,1.88768,0.612,7.42112,1920,1080
1CRN  Crambin,327,337,129,0.539166,0.70048,1.66624,0,2.5224,1.88016,0.61536,7.38464,1920,1080
1CRN  Crambin,327,337,130,0.47672,0.692,1.66688,0,2.57824,1.87808,0.61616,7.43136,1920,1080
1CRN  Crambin,327,337,131,0.450883,0.70896,1.66288,0,2.55056,1.88192,0.6136,7.41792,1920,1080
1CRN  Crambin,327,337,132,0.445469,0.71344,1.65984,0,2.5232,1.88544,0.61392,7.39584,1920,1080
1CRN  Crambin,327,337,133,0.595391,0.6552,1.66688,0,2.45792,1.88416,0.6216,7.28576,1920,1080
1CRN  Crambin,327,337,134,3.2077,0.67584,1.66368,0,2.62544,1.88096,0.61968,7.4656,1920,1080
1CRN  Crambin,327,337,135,0.469098,0.71488,1.66288,0,2.51376,1.91584,0.61408,7.42144,1920,1080
1CRN  Crambin,327,337,136,0.463065,0.67472,1.6656,0,2.49984,1.87952,0.61968,7.33936,1920,1080
1CRN  Crambin,327,337,137,0.438259,0.70832,1.66288,0,2.61296,1.88688,0.62144,7.49248,1920,1080
1CRN  Crambin,327,337,138,0.554574,0.6992,1.6632,0,2.54544,1.87856,0.61504,7.40144,1920,1080
1CRN  Crambin,327,337,139,0.545409,0.65808,1.6704,0,2.54096,1.8872,0.61008,7.36672,1920,1080
1CRN  Crambin,327,337,140,0.588531,0.70144,1.6608,0,2.44944,1.87968,0.61536,7.30672,1920,1080
