molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,3.38129,0,0.668624,0,0.431459,0.275999,0.167999,1.54408,1920,1080
1CRN  Crambin,327,337,1,3.58604,0,0.550124,0,0.460124,0.224792,0.384749,1.61979,1920,1080
1CRN  Crambin,327,337,2,3.37483,0,0.676125,0,0.4605,0.045501,0.222126,1.40425,1920,1080
1CRN  Crambin,327,337,3,3.28662,0,0.502709,0,0.45025,0.241459,0.377334,1.57175,1920,1080
1CRN  Crambin,327,337,4,3.35542,0,0.55625,0,0.436709,0.158584,0.161375,1.31292,1920,1080
1CRN  Crambin,327,337,5,3.22183,0,0.593625,0,0.445167,0.24475,0.389,1.67254,1920,1080
1CRN  Crambin,327,337,6,3.60583,0,0.659667,0,0.441709,0.164916,0.173625,1.43992,1920,1080
1CRN  Crambin,327,337,7,3.04567,0,0.557,0,0.54375,0.236042,0.383001,1.71979,1920,1080
1CRN  Crambin,327,337,8,3.55221,0,0.518834,0,0.401499,0.278708,0.162625,1.36167,1920,1080
1CRN  Crambin,327,337,9,4.56654,0,0.605458,0,0.438083,0.226375,0.382499,1.65241,1920,1080
1CRN  Crambin,327,337,10,4.64692,0,0.561251,0,0.445001,0.168417,0.160125,1.33479,1920,1080
1CRN  Crambin,327,337,11,3.05542,0,0.624125,0,0.441375,0.226083,0.39825,1.68983,1920,1080
1CRN  Crambin,327,337,12,3.25738,0,0.5035,0,0.432042,0.272626,0.162208,1.37038,1920,1080
1CRN  Crambin,327,337,13,3.24417,0,0.521624,0,0.4455,0.249833,0.382001,1.59896,1920,1080
1CRN  Crambin,327,337,14,3.41221,0,0.623959,0,0.428666,0.275083,0.164792,1.4925,1920,1080
1CRN  Crambin,327,337,15,3.4325,0,0.578083,0,0.448209,0.23775,0.400584,1.66463,1920,1080
1CRN  Crambin,327,337,16,3.32354,0,0.676291,0,0.449,0.290749,0.174458,1.5905,1920,1080
1CRN  Crambin,327,337,17,3.08521,0,0.525542,0,0.4405,0.243124,0.383042,1.59221,1920,1080
1CRN  Crambin,327,337,18,3.38133,0,0.527709,0,0.436167,0.154916,0.1655,1.28429,1920,1080
1CRN  Crambin,327,337,19,3.28196,0,0.610999,0,0.425874,0.234125,0.384374,1.65537,1920,1080
1CRN  Crambin,327,337,20,3.7905,0,0.628375,0,0.433958,0.158208,0.171376,1.39192,1920,1080
1CRN  Crambin,327,337,21,3.09042,0,0.70525,0,0.444874,0.22475,0.400667,1.77554,1920,1080
1CRN  Crambin,327,337,22,3.35667,0,0.524126,0,0.439126,0.160374,0.159416,1.28304,1920,1080
1CRN  Crambin,327,337,23,3.27004,0,0.492458,0,0.439916,0.238376,0.37975,1.5505,1920,1080
1CRN  Crambin,327,337,24,3.38575,0,0.545875,0,0.43025,0.279083,0.168125,1.42333,1920,1080
1CRN  Crambin,327,337,25,3.53063,0,0.568584,0,0.443042,0.24575,0.382167,1.63954,1920,1080
1CRN  Crambin,327,337,26,3.29537,0,0.674375,0,0.446792,0.175,0.27625,1.57242,1920,1080
1CRN  Crambin,327,337,27,3.08758,0,0.509876,0,0.438959,0.237417,0.380751,1.567,1920,1080
1CRN  Crambin,327,337,28,3.42433,0,0.528167,0,0.439791,0.131958,0.171251,1.27117,1920,1080
1CRN  Crambin,327,337,29,3.26625,0,0.597042,0,0.449334,0.244375,0.387291,1.67804,1920,1080
1CRN  Crambin,327,337,30,3.56033,0,0.537625,0,0.429875,0.277709,0.174791,1.42,1920,1080
1CRN  Crambin,327,337,31,3.05758,0,0.570624,0,0.46225,0.247042,0.394958,1.67487,1920,1080
1CRN  Crambin,327,337,32,3.29704,0,0.494041,0,0.433,0.155251,0.164916,1.24721,1920,1080
1CRN  Crambin,327,337,33,3.25617,0,0.515166,0,0.442667,0.239626,0.379375,1.57683,1920,1080
1CRN  Crambin,327,337,34,3.37425,0,0.544,0,0.430042,0.27025,0.167125,1.41142,1920,1080
1CRN  Crambin,327,337,35,3.417,0,0.587,0,0.439792,0.21975,0.37975,1.62629,1920,1080
1CRN  Crambin,327,337,36,3.23829,0,0.666291,0,0.453375,0.219625,0.167749,1.50704,1920,1080
1CRN  Crambin,327,337,37,3.11183,0,0.477125,0,0.439001,0.2425,0.381124,1.53975,1920,1080
1CRN  Crambin,327,337,38,3.42037,0,0.607125,0,0.463375,0.1385,0.1585,1.3675,1920,1080
1CRN  Crambin,327,337,39,3.05837,0,0.514876,0,0.449,0.252375,0.387458,1.60371,1920,1080
1CRN  Crambin,327,337,40,3.533,0,0.492709,0,0.42325,0.154417,0.160041,1.23042,1920,1080
1CRN  Crambin,327,337,41,3.00663,0,0.470459,0,0.4075,0.237708,0.516167,1.63183,1920,1080
1CRN  Crambin,327,337,42,3.33038,0,0.536375,0,0.429501,0.266375,0.160542,1.39279,1920,1080
1CRN  Crambin,327,337,43,3.00346,0,0.544042,0,0.4465,0.210499,0.379667,1.58071,1920,1080
1CRN  Crambin,327,337,44,3.19821,0,0.4455,0,0.419334,0.296751,0.164542,1.32613,1920,1080
1CRN  Crambin,327,337,45,3.93279,0,0.404417,0,0.450376,0.230584,0.378501,1.46388,1920,1080
1CRN  Crambin,327,337,46,3.10646,0,0.429166,0,0.436917,0.172416,0.138874,1.17737,1920,1080
1CRN  Crambin,327,337,47,2.97846,0,0.495583,0,0.439958,0.205375,0.37525,1.51617,1920,1080
1CRN  Crambin,327,337,48,3.14292,0,0.5075,0,0.439751,0.3295,0.167584,1.44433,1920,1080
1CRN  Crambin,327,337,49,2.91412,0,0.381292,0,0.403459,0.20225,0.388749,1.37575,1920,1080
1CRN  Crambin,327,337,50,4.19433,0,0.4605,0,0.3975,0.283624,0.158375,1.3,1920,1080
1CRN  Crambin,327,337,51,2.93696,0,0.419626,0,0.437458,0.234,0.402583,1.49367,1920,1080
1CRN  Crambin,327,337,52,3.25888,0,0.432416,0,0.429,0.28775,0.16425,1.31342,1920,1080
1CRN  Crambin,327,337,53,2.9815,0,0.458958,0,0.441333,0.239249,0.379667,1.51921,1920,1080
1CRN  Crambin,327,337,54,3.2475,0,0.457083,0,0.434917,0.147334,0.166,1.20533,1920,1080
1CRN  Crambin,327,337,55,4.34671,0,0.458084,0,0.439875,0.203709,0.374834,1.4765,1920,1080
1CRN  Crambin,327,337,56,3.25254,0,0.435584,0,0.417417,0.280875,0.172584,1.30646,1920,1080
1CRN  Crambin,327,337,57,3.10054,0,0.372875,0,0.440041,0.237376,0.376876,1.42717,1920,1080
1CRN  Crambin,327,337,58,3.31254,0,0.466166,0,0.441999,0.299624,0.170916,1.37871,1920,1080
1CRN  Crambin,327,337,59,3.07154,0,0.396999,0,0.452375,0.22475,0.38225,1.45637,1920,1080
1CRN  Crambin,327,337,60,4.65092,0,0.398708,0,0.461459,0.1655,0.178791,1.20446,1920,1080
1CRN  Crambin,327,337,61,3.05421,0,0.392583,0,0.502875,0.222708,0.392375,1.51054,1920,1080
1CRN  Crambin,327,337,62,3.18113,0,0.367875,0,0.435417,0.159751,0.1795,1.14254,1920,1080
1CRN  Crambin,327,337,63,2.95812,0,0.368584,0,0.446791,0.261249,0.382959,1.45958,1920,1080
1CRN  Crambin,327,337,64,3.11738,0,0.474501,0,0.436917,0.189917,0.186375,1.28771,1920,1080
1CRN  Crambin,327,337,65,4.04667,0,0.453083,0,0.457501,0.226042,0.391501,1.52813,1920,1080
1CRN  Crambin,327,337,66,3.2015,0,0.456376,0,0.47425,0.192834,0.161875,1.28533,1920,1080
1CRN  Crambin,327,337,67,3.01267,0,0.460374,0,0.447667,0.238251,0.369708,1.516,1920,1080
1CRN  Crambin,327,337,68,3.21354,0,0.410125,0,0.299292,0.175999,0.155041,1.04046,1920,1080
1CRN  Crambin,327,337,69,3.05121,0,0.463041,0,0.478834,0.257499,0.369875,1.56925,1920,1080
1CRN  Crambin,327,337,70,4.21779,0,0.468874,0,0.487624,0.128417,0.195376,1.28029,1920,1080
1CRN  Crambin,327,337,71,3.02092,0,0.3925,0,0.497459,0.253624,0.401001,1.54458,1920,1080
1CRN  Crambin,327,337,72,3.13271,0,0.416292,0,0.446999,0.308251,0.191959,1.3635,1920,1080
1CRN  Crambin,327,337,73,3.23517,0,0.365459,0,0.464333,0.23325,0.380626,1.44367,1920,1080
1CRN  Crambin,327,337,74,3.20117,0,0.416249,0,0.530208,0.209167,0.167583,1.32321,1920,1080
