molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,3.44271,0.345375,0.210125,0.58625,0.171834,0.147209,0.223334,1.68413,1280,720
1CRN  Crambin,327,337,1,3.81083,0.319041,0.140542,0.68575,0.208541,0.116291,0.254291,1.72446,1280,720
1CRN  Crambin,327,337,2,5.12613,0.187626,0.260626,0.678,0.259624,0.135708,0.254625,1.77621,1280,720
1CRN  Crambin,327,337,3,4.08667,0.3185,0.266791,0.670166,0.264125,0.165541,0.266625,1.95175,1280,720
1CRN  Crambin,327,337,4,4.20704,0.121166,0.193416,0.559334,0.210126,0.149416,0.235208,1.46867,1280,720
1CRN  Crambin,327,337,5,3.80883,0.01325,0.156625,0.702583,0.206833,0.129,0.25225,1.46054,1280,720
1CRN  Crambin,327,337,6,4.90175,0.30825,0.227959,0.653417,0.264624,0.16025,0.255916,1.87042,1280,720
1CRN  Crambin,327,337,7,3.17158,0.268083,0.255959,0.698626,0.360876,0.166791,0.253458,2.00379,1280,720
1CRN  Crambin,327,337,8,3.42942,0.254584,0.193,0.557209,0.178501,0.105251,0.224333,1.51288,1280,720
1CRN  Crambin,327,337,9,3.70592,0.312251,0.192916,0.618375,0.204958,0.112625,0.250209,1.69133,1280,720
1CRN  Crambin,327,337,10,3.94329,0.318334,0.254416,0.682876,0.21175,0.141125,0.254125,1.86263,1280,720
1CRN  Crambin,327,337,11,3.67754,0.320916,0.252833,0.68875,0.287083,0.142666,0.249458,1.94171,1280,720
1CRN  Crambin,327,337,12,3.08283,0.321499,0.472583,0.684625,0.134541,0.126667,0.2235,1.96342,1280,720
1CRN  Crambin,327,337,13,3.70225,0.315749,0.177667,0.547875,0.17625,0.143334,0.222501,1.58338,1280,720
1CRN  Crambin,327,337,14,3.59475,0.385125,0.200166,0.691251,0.181708,0.127874,0.264376,1.8505,1280,720
1CRN  Crambin,327,337,15,3.99225,0.2965,0.21375,0.669,0.205375,0.093501,0.251499,1.72963,1280,720
1CRN  Crambin,327,337,16,3.1555,0.332875,0.151292,0.576125,0.182209,0.14125,0.225334,1.60909,1280,720
1CRN  Crambin,327,337,17,3.26333,0.249834,0.189874,0.580917,0.153124,0.126625,0.225209,1.52558,1280,720
1CRN  Crambin,327,337,18,3.88054,0.345375,0.200625,0.584,0.178376,0.14475,0.274501,1.72763,1280,720
1CRN  Crambin,327,337,19,3.71304,0.303376,0.247749,0.660999,0.270624,0.14625,0.253625,1.88262,1280,720
1CRN  Crambin,327,337,20,3.20979,0.273625,0.250667,0.734208,0.198584,0.162709,0.225501,1.84529,1280,720
1CRN  Crambin,327,337,21,3.07746,0.33575,0.16125,0.546292,0.178001,0.148125,0.219916,1.58933,1280,720
1CRN  Crambin,327,337,22,3.06471,0.343375,0.188834,0.553875,0.17625,0.141291,0.226375,1.63,1280,720
1CRN  Crambin,327,337,23,3.05704,0.328166,0.175709,0.576834,0.184001,0.11,0.229624,1.60433,1280,720
1CRN  Crambin,327,337,24,2.89842,0.334292,0.185292,0.5235,0.1795,0.134625,0.2235,1.58071,1280,720
1CRN  Crambin,327,337,25,3.98721,0.2445,0.160209,0.519542,0.1785,0.132375,0.253917,1.48904,1280,720
1CRN  Crambin,327,337,26,3.16712,0.303875,0.183751,0.5145,0.195834,0.13825,0.221376,1.55759,1280,720
1CRN  Crambin,327,337,27,2.98233,0.1895,0.129916,0.537625,0.168917,0.14225,0.236166,1.40437,1280,720
1CRN  Crambin,327,337,28,3.07354,0.220125,0.139,0.5145,0.178666,0.138,0.26575,1.45604,1280,720
1CRN  Crambin,327,337,29,2.9295,0.340125,0.198375,0.559125,0.174834,0.147874,0.220125,1.64046,1280,720
1CRN  Crambin,327,337,30,2.89546,0.226666,0.14375,0.513876,0.175501,0.135249,0.222876,1.41792,1280,720
1CRN  Crambin,327,337,31,3.10567,0.216125,0.15725,0.512458,0.176833,0.122875,0.220666,1.40621,1280,720
1CRN  Crambin,327,337,32,3.03171,0.204333,0.191625,0.477875,0.185834,0.103126,0.237834,1.40063,1280,720
1CRN  Crambin,327,337,33,2.96638,0.149751,0.164876,0.448333,0.169374,0.137001,0.222834,1.29217,1280,720
1CRN  Crambin,327,337,34,2.87217,0.233625,0.168625,0.357834,0.163126,0.147875,0.217958,1.28904,1280,720
1CRN  Crambin,327,337,35,2.83075,0.190334,0.081291,0.453375,0.160751,0.1405,0.238459,1.26471,1280,720
1CRN  Crambin,327,337,36,3.53642,0.212334,0.098791,0.48575,0.210499,0.135958,0.223458,1.36679,1280,720
1CRN  Crambin,327,337,37,2.91829,0.213625,0.118708,0.466626,0.16575,0.142541,0.224042,1.33129,1280,720
1CRN  Crambin,327,337,38,2.87621,0.101001,0.040791,0.448542,0.239375,0.121375,0.223125,1.17421,1280,720
1CRN  Crambin,327,337,39,2.88796,0.193751,0.0655,0.448251,0.171751,0.130542,0.220542,1.23034,1280,720
1CRN  Crambin,327,337,40,2.838,0.218042,0.143291,0.455708,0.187874,0.147875,0.244709,1.3975,1280,720
1CRN  Crambin,327,337,41,2.93479,0.295125,0.16375,0.397,0.187375,0.141875,0.232875,1.418,1280,720
1CRN  Crambin,327,337,42,3.52558,0.2175,0.126166,0.455084,0.204876,0.140208,0.237959,1.38179,1280,720
1CRN  Crambin,327,337,43,2.91796,0.203083,0.1045,0.471083,0.143209,0.159292,0.245,1.32617,1280,720
1CRN  Crambin,327,337,44,2.83308,0,0.155251,0.446124,0.177499,0.161749,0.240959,1.18158,1280,720
1CRN  Crambin,327,337,45,2.85429,0.205251,0.072542,0.4555,0.175001,0.146874,0.224875,1.28004,1280,720
1CRN  Crambin,327,337,46,2.82238,0.212291,0.098751,0.453124,0.179874,0.14175,0.228,1.31379,1280,720
1CRN  Crambin,327,337,47,4.48337,0.213374,0.093459,0.445375,0.200125,0.141791,0.236666,1.33079,1280,720
1CRN  Crambin,327,337,48,2.98958,0.301749,0.153749,0.445375,0.19025,0.163833,0.235709,1.49066,1280,720
1CRN  Crambin,327,337,49,2.8525,0.283375,0.019625,0.460459,0.188999,0.164124,0.231792,1.34837,1280,720
1CRN  Crambin,327,337,50,2.9275,0.264708,0.158376,0.447666,0.223959,0.021292,0.238542,1.35454,1280,720
1CRN  Crambin,327,337,51,2.89737,0.290875,0.163708,0.446416,0.285708,0.1655,0.236917,1.58912,1280,720
1CRN  Crambin,327,337,52,2.94842,0.268375,0.11975,0.448125,0.164999,0.154375,0.260209,1.41583,1280,720
1CRN  Crambin,327,337,53,3.06875,0.306042,0.131875,0.456625,0.153584,0.16775,0.2485,1.46438,1280,720
1CRN  Crambin,327,337,54,2.89688,0.285416,0.120542,0.456792,0.403708,0.218084,0.239626,1.72417,1280,720
