molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,10.1644,0.715958,1.40812,2.62525,1.27625,1.27821,0.509,7.81279,2880,1638
1CRN  Crambin,327,337,1,9.87492,0.699167,0.922499,2.88208,1.13687,1.29908,0.776917,7.71662,2880,1638
1CRN  Crambin,327,337,2,10.2864,0.736249,0.929625,2.884,1.12062,1.27946,0.52925,7.47921,2880,1638
1CRN  Crambin,327,337,3,11.9728,0.73375,0.927541,3.22154,1.08467,1.29038,0.539208,7.79708,2880,1638
1CRN  Crambin,327,337,4,9.74608,0.731,0.915958,2.82721,1.10458,1.29796,0.51475,7.39146,2880,1638
1CRN  Crambin,327,337,5,10.2177,0.813499,0.92025,2.87625,1.078,1.283,0.303083,7.27408,2880,1638
1CRN  Crambin,327,337,6,9.8605,0.325249,0.932833,2.91346,1.47637,1.29046,0.515959,7.45433,2880,1638
1CRN  Crambin,327,337,7,10.2526,0.415374,0.9435,2.87925,1.1105,1.27425,0.511167,7.13404,2880,1638
1CRN  Crambin,327,337,8,10.4603,0.762167,0.932125,2.882,1.0995,1.16508,0.526209,7.36708,2880,1638
1CRN  Crambin,327,337,9,9.90392,0.689166,0.930126,2.86925,1.13942,1.2565,0.539625,7.42408,2880,1638
1CRN  Crambin,327,337,10,10.1339,0.820291,0.929125,2.86458,1.1285,1.29292,0.521209,7.55662,2880,1638
1CRN  Crambin,327,337,11,9.75721,0.785625,0.921667,2.79417,1.00925,1.26246,0.52725,7.30042,2880,1638
1CRN  Crambin,327,337,12,10.1585,0.573126,0.631375,2.90238,1.09563,1.26033,0.505125,6.96796,2880,1638
1CRN  Crambin,327,337,13,10.2329,0.734084,0.67975,2.43612,1.09688,1.23212,0.523416,6.70237,2880,1638
1CRN  Crambin,327,337,14,9.84217,0.716749,0.931417,2.87575,1.111,1.30088,0.857916,7.79371,2880,1638
1CRN  Crambin,327,337,15,10.168,0.737374,0.925459,2.90283,1.121,1.26779,0.507,7.46146,2880,1638
1CRN  Crambin,327,337,16,9.94425,0.67925,0.92375,3.21887,1.13738,1.30267,0.533584,7.7955,2880,1638
1CRN  Crambin,327,337,17,10.7161,0.688125,0.917208,2.90604,1.14658,1.27538,0.545291,7.47862,2880,1638
1CRN  Crambin,327,337,18,10.8749,0.847041,1.36163,2.7175,1.41392,1.37963,0.559,8.27871,2880,1638
1CRN  Crambin,327,337,19,10.1427,0.877459,0.945291,2.97863,1.20204,1.818,0.588625,8.41004,2880,1638
1CRN  Crambin,327,337,20,10.1823,0.851499,0.944333,2.92563,1.15863,1.34262,0.561334,7.78404,2880,1638
1CRN  Crambin,327,337,21,10.8172,0.945375,0.916751,3.22296,1.09488,1.26738,0.509751,7.95709,2880,1638
1CRN  Crambin,327,337,22,9.81608,0.8485,0.917375,2.87771,1.10779,1.27479,0.537,7.56317,2880,1638
1CRN  Crambin,327,337,23,10.1681,0.630625,0.914875,2.87988,1.11221,1.305,0.531666,7.37425,2880,1638
1CRN  Crambin,327,337,24,9.74667,0.873125,0.918125,2.88313,1.43587,1.26708,0.538791,7.91612,2880,1638
1CRN  Crambin,327,337,25,10.0573,0.736667,0.923624,2.88046,1.15421,1.28,0.525167,7.50012,2880,1638
1CRN  Crambin,327,337,26,10.53,0.734834,0.931625,3.21013,1.09375,1.13863,0.542251,7.65121,2880,1638
1CRN  Crambin,327,337,27,9.87146,0.783834,0.921499,2.87887,1.12704,1.309,0.540251,7.5605,2880,1638
1CRN  Crambin,327,337,28,10.1716,0.719791,0.934542,2.90975,1.12662,1.27588,0.521375,7.48796,2880,1638
1CRN  Crambin,327,337,29,9.82512,0.877209,0.927792,3.18658,1.20112,1.29638,0.517791,8.00688,2880,1638
1CRN  Crambin,327,337,30,10.095,0.712876,0.921667,2.88037,1.11796,1.26246,0.491916,7.38725,2880,1638
1CRN  Crambin,327,337,31,10.1325,0.832749,0.931375,2.89533,1.10825,1.24412,0.512125,7.52396,2880,1638
1CRN  Crambin,327,337,32,9.84337,0.794833,0.924126,2.86512,1.12275,1.32288,0.531916,7.56162,2880,1638
1CRN  Crambin,327,337,33,10.725,0.715584,0.928375,2.87892,1.13787,1.27754,0.569459,7.50775,2880,1638
1CRN  Crambin,327,337,34,12.3233,0.844959,0.948125,3.19113,1.48092,1.298,0.538583,8.30171,2880,1638
1CRN  Crambin,327,337,35,9.7315,0.7855,0.930124,2.89663,1.11512,1.276,0.534666,7.53804,2880,1638
1CRN  Crambin,327,337,36,9.87221,0.806333,0.945834,2.91375,1.11237,1.20179,0.501749,7.48183,2880,1638
1CRN  Crambin,327,337,37,9.4945,0.653709,0.908792,2.83054,1.0955,1.25263,0.522583,7.26375,2880,1638
1CRN  Crambin,327,337,38,9.83829,0.726749,0.889416,2.81517,1.072,1.22179,0.50575,7.23087,2880,1638
1CRN  Crambin,327,337,39,12.088,0.663,0.910542,3.14913,1.04208,1.207,0.501251,7.473,2880,1638
1CRN  Crambin,327,337,40,9.45813,0.613624,0.911416,2.81592,1.06113,1.2165,0.523791,7.14237,2880,1638
1CRN  Crambin,327,337,41,9.85933,0.712374,0.907916,2.81925,1.07529,1.20904,0.51125,7.23512,2880,1638
1CRN  Crambin,327,337,42,9.62517,0.70575,0.901667,2.84238,1.4605,1.21862,0.508542,7.63746,2880,1638
1CRN  Crambin,327,337,43,10.0414,0.476209,0.919499,2.84225,1.07096,1.23063,0.48625,7.02579,2880,1638
1CRN  Crambin,327,337,44,10.4446,0.767374,0.922375,3.207,1.0785,1.21887,0.511125,7.70525,2880,1638
1CRN  Crambin,327,337,45,9.64062,0.686917,0.914167,2.83508,1.084,1.2315,0.511583,7.26325,2880,1638
1CRN  Crambin,327,337,46,9.8405,0.654124,0.898874,2.831,1.10925,1.24588,0.499292,7.23841,2880,1638
1CRN  Crambin,327,337,47,9.54771,0.652251,0.915791,2.81583,1.38837,1.19637,0.472501,7.44113,2880,1638
1CRN  Crambin,327,337,48,9.936,0.686,0.912541,2.81696,1.07642,1.20988,0.503959,7.20575,2880,1638
1CRN  Crambin,327,337,49,11.1385,0.69575,0.88775,3.19312,1.07121,1.21479,0.496126,7.55875,2880,1638
1CRN  Crambin,327,337,50,9.42467,0.649374,0.919209,2.86825,1.10938,1.27163,0.504791,7.32262,2880,1638
1CRN  Crambin,327,337,51,9.85775,0.648125,0.914417,2.82875,1.06238,1.22563,0.500041,7.17933,2880,1638
1CRN  Crambin,327,337,52,9.48675,0.642166,0.919125,2.81763,1.43825,1.21125,0.513458,7.54187,2880,1638
1CRN  Crambin,327,337,53,9.87617,0.620542,0.919959,2.83421,1.08112,1.21762,0.503917,7.17737,2880,1638
1CRN  Crambin,327,337,54,11.1131,0.670334,0.916375,3.16625,1.09688,1.17804,0.501292,7.52917,2880,1638
1CRN  Crambin,327,337,55,9.57667,0.652209,0.91925,2.80988,1.07637,1.23913,0.525249,7.22208,2880,1638
1CRN  Crambin,327,337,56,9.86083,0.66425,0.918751,2.85433,1.069,1.2185,0.50375,7.22858,2880,1638
1CRN  Crambin,327,337,57,9.47871,0.6555,0.912541,2.821,1.41037,1.22825,0.515167,7.54283,2880,1638
