molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,4.98313,0.3435,0.372874,0.941708,0.442709,0.240001,0.398708,2.7395,1920,1080
1CRN  Crambin,327,337,1,4.48425,0.337,0.354542,0.947125,0.449624,0.246625,0.388499,2.72341,1920,1080
1CRN  Crambin,327,337,2,4.48567,0.37525,0.33925,0.987,0.444874,0.243874,0.376834,2.76708,1920,1080
1CRN  Crambin,327,337,3,4.44867,0.376126,0.316458,0.959959,0.439375,0.247999,0.384916,2.72483,1920,1080
1CRN  Crambin,327,337,4,4.72571,0.330584,0.377291,0.951667,0.4385,0.239251,0.381125,2.71842,1920,1080
1CRN  Crambin,327,337,5,4.73067,0.331834,0.378917,0.935124,0.572625,0.267625,0.376001,2.86213,1920,1080
1CRN  Crambin,327,337,6,4.418,0.33725,0.385708,0.942876,0.447625,0.240501,0.376542,2.7305,1920,1080
1CRN  Crambin,327,337,7,6.62512,0.342125,0.313541,0.971249,0.443375,0.247001,0.380624,2.69792,1920,1080
1CRN  Crambin,327,337,8,4.43292,0.296167,0.384875,0.943208,0.445625,0.246291,0.382376,2.69854,1920,1080
1CRN  Crambin,327,337,9,4.55254,0.340084,0.378042,0.96025,0.449042,0.240625,0.382709,2.75075,1920,1080
1CRN  Crambin,327,337,10,4.41838,0.008083,0.474333,0.987792,0.450167,0.248374,0.380291,2.54904,1920,1080
1CRN  Crambin,327,337,11,4.67683,0.347292,0.346584,0.950084,0.437584,0.25275,0.384125,2.71842,1920,1080
1CRN  Crambin,327,337,12,4.48608,0.3315,0.378,1.07563,0.448084,0.247792,0.389416,2.87042,1920,1080
1CRN  Crambin,327,337,13,4.52408,0.319749,0.359708,0.94,0.433583,0.078083,0.374459,2.50558,1920,1080
1CRN  Crambin,327,337,14,6.19467,0.348875,0.364125,0.983084,0.447,0.243166,0.389041,2.77529,1920,1080
1CRN  Crambin,327,337,15,4.48458,0.332166,0.36775,0.938583,0.438459,0.220084,0.384001,2.68104,1920,1080
1CRN  Crambin,327,337,16,4.64388,0.330126,0.367125,0.943501,0.434625,0.238626,0.37825,2.69225,1920,1080
1CRN  Crambin,327,337,17,4.49038,0.073166,0.53425,0.996376,0.442375,0.252666,0.384083,2.68292,1920,1080
1CRN  Crambin,327,337,18,4.68721,0.330958,0.388291,0.944666,0.438249,0.239125,0.378958,2.72025,1920,1080
1CRN  Crambin,327,337,19,4.53463,0.35725,0.356791,1.07187,0.448458,0.250167,0.382958,2.8675,1920,1080
1CRN  Crambin,327,337,20,4.52633,0.344791,0.367001,0.946376,0.45025,0.259334,0.381875,2.74963,1920,1080
1CRN  Crambin,327,337,21,5.26071,0.35925,0.375375,0.977999,0.429791,0.250667,0.382876,2.77596,1920,1080
1CRN  Crambin,327,337,22,4.55208,0.335958,0.371375,0.940333,0.444874,0.250042,0.384458,2.72704,1920,1080
1CRN  Crambin,327,337,23,4.62317,0.344708,0.336501,0.936375,0.470209,0.25725,0.379708,2.72475,1920,1080
1CRN  Crambin,327,337,24,4.61533,0.280583,0.270999,0.967125,0.436375,0.245542,0.384084,2.58471,1920,1080
1CRN  Crambin,327,337,25,4.79462,0.373333,0.374708,0.952542,0.449875,0.261416,0.381416,2.79329,1920,1080
1CRN  Crambin,327,337,26,4.63483,0.358375,0.386626,0.978625,0.402834,0.283917,0.395126,2.8055,1920,1080
1CRN  Crambin,327,337,27,4.53675,0.310876,0.3895,0.946625,0.462417,0.125041,0.385875,2.62033,1920,1080
1CRN  Crambin,327,337,28,5.98588,0.345583,0.369458,0.987376,0.472,0.259375,0.380834,2.81463,1920,1080
1CRN  Crambin,327,337,29,4.67583,0.335958,0.387,0.95275,0.447626,0.259291,0.384583,2.76721,1920,1080
1CRN  Crambin,327,337,30,4.59117,0.358249,0.3735,0.963166,0.489584,0.236083,0.392709,2.81329,1920,1080
1CRN  Crambin,327,337,31,4.58871,0.180249,0.317625,1.01163,0.46425,0.271833,0.381167,2.62675,1920,1080
1CRN  Crambin,327,337,32,4.82983,0.369041,0.404,0.958833,0.46325,0.266124,0.379375,2.84062,1920,1080
1CRN  Crambin,327,337,33,4.92075,0.430334,0.389458,1.08267,0.481291,0.271209,0.412875,3.06783,1920,1080
1CRN  Crambin,327,337,34,4.71892,0.442667,0.405333,0.953499,0.484375,0.352375,0.407125,3.04537,1920,1080
1CRN  Crambin,327,337,35,5.93163,0.4425,0.397876,0.972417,0.4815,0.272916,0.411626,2.97884,1920,1080
1CRN  Crambin,327,337,36,4.497,0.351708,0.40125,0.949084,0.496417,0.280501,0.401375,2.88034,1920,1080
1CRN  Crambin,327,337,37,4.62413,0.351291,0.39,0.958459,0.454083,0.287126,0.389,2.82996,1920,1080
1CRN  Crambin,327,337,38,4.50504,0.428501,0.397749,0.958417,0.463584,0.260249,0.381708,2.89021,1920,1080
1CRN  Crambin,327,337,39,4.63454,0.347,0.378625,0.94525,0.470125,0.264249,0.38,2.78525,1920,1080
1CRN  Crambin,327,337,40,4.41575,0.419001,0.393666,1.102,0.448083,0.219208,0.372458,2.95442,1920,1080
1CRN  Crambin,327,337,41,4.41087,0.332875,0.377084,0.955251,0.451292,0.252542,0.37625,2.74529,1920,1080
1CRN  Crambin,327,337,42,5.27712,0.332374,0.356375,0.975375,0.453292,0.259041,0.374999,2.75146,1920,1080
1CRN  Crambin,327,337,43,4.48663,0.289834,0.382124,0.949249,0.466333,0.262,0.383041,2.73258,1920,1080
1CRN  Crambin,327,337,44,4.76187,0.355999,0.38125,0.957375,0.4705,0.25075,0.392417,2.80829,1920,1080
1CRN  Crambin,327,337,45,4.93071,0.263874,0.356667,0.950625,0.480875,0.271416,0.403875,2.72733,1920,1080
1CRN  Crambin,327,337,46,4.76888,0.143499,0.557584,0.992375,0.516374,0.22725,0.544625,2.98171,1920,1080
1CRN  Crambin,327,337,47,4.53508,0.141917,0.555125,1.1805,0.481042,0.227083,0.375125,2.96079,1920,1080
1CRN  Crambin,327,337,48,4.975,0.40125,0.379999,0.945333,0.3405,0.261,0.377083,2.70517,1920,1080
1CRN  Crambin,327,337,49,7.00213,0.431376,0.395333,0.954416,0.48625,0.309292,0.583666,3.16033,1920,1080
1CRN  Crambin,327,337,50,4.65171,0.388125,0.34725,0.944375,0.472041,0.258376,0.413874,2.82404,1920,1080
1CRN  Crambin,327,337,51,4.61667,0.353833,0.397416,0.956708,0.357416,0.269666,0.394333,2.72937,1920,1080
1CRN  Crambin,327,337,52,7.25875,0.447499,0.369167,0.989624,0.466375,0.223251,0.371209,2.86712,1920,1080
1CRN  Crambin,327,337,53,4.55379,0.423916,0.347167,0.953001,0.477333,0.279499,0.389459,2.87038,1920,1080
1CRN  Crambin,327,337,54,4.66754,0.337833,0.37925,0.953875,0.456999,0.260208,0.387583,2.77575,1920,1080
1CRN  Crambin,327,337,55,5.70425,0.461792,0.405375,1.02,0.448334,0.285542,0.38225,3.00329,1920,1080
1CRN  Crambin,327,337,56,4.51054,0.380541,0.408292,0.964209,0.473501,0.27825,0.400749,2.90554,1920,1080
1CRN  Crambin,327,337,57,4.82117,0.337751,0.38475,0.949541,0.463626,0.285625,0.388041,2.80933,1920,1080
1CRN  Crambin,327,337,58,4.57525,0.144584,0.368376,1.01275,0.454625,0.254626,0.376126,2.61109,1920,1080
1CRN  Crambin,327,337,59,4.79379,0.375541,0.400958,0.968501,0.464125,0.265541,0.368833,2.8435,1920,1080
1CRN  Crambin,327,337,60,4.60292,0.304374,0.38525,1.13738,0.452708,0.26125,0.381292,2.92225,1920,1080
1CRN  Crambin,327,337,61,4.61483,0.361876,0.354834,0.970916,0.342249,0.245042,0.374167,2.64908,1920,1080
1CRN  Crambin,327,337,62,5.61033,0.392249,0.3935,1.02662,0.450583,0.243333,0.375292,2.88158,1920,1080
1CRN  Crambin,327,337,63,4.56333,0.388125,0.366251,1.014,0.453751,0.261584,0.385791,2.8695,1920,1080
1CRN  Crambin,327,337,64,4.49675,0.359375,0.321749,0.951,0.417251,0.2405,0.397791,2.68767,1920,1080
1CRN  Crambin,327,337,65,4.49896,0.338917,0.3855,0.943208,0.45375,0.250625,0.380292,2.75229,1920,1080
1CRN  Crambin,327,337,66,4.68663,0.376541,0.347001,0.991249,0.419626,0.249583,0.378501,2.7625,1920,1080
1CRN  Crambin,327,337,67,4.49496,0.339875,0.3825,1.08083,0.452626,0.24275,0.379291,2.87788,1920,1080
1CRN  Crambin,327,337,68,4.63542,0.3835,0.362834,0.996958,0.433501,0.243833,0.377124,2.79775,1920,1080
1CRN  Crambin,327,337,69,7.71542,0.339125,0.344667,0.949125,0.415375,0.247916,0.380209,2.67642,1920,1080
1CRN  Crambin,327,337,70,4.49563,0.413792,0.37175,0.943625,0.447749,0.262001,0.381999,2.82092,1920,1080
1CRN  Crambin,327,337,71,4.54704,0.32875,0.378,0.955375,0.317501,0.245584,0.385749,2.61096,1920,1080
1CRN  Crambin,327,337,72,5.63962,0.404874,0.387875,0.981375,0.445125,0.23125,0.37775,2.82825,1920,1080
1CRN  Crambin,327,337,73,4.58571,0.385999,0.351251,0.9755,0.448209,0.252751,0.384042,2.79775,1920,1080
1CRN  Crambin,327,337,74,4.79671,0.327167,0.375625,0.939959,0.439125,0.243875,0.388625,2.71438,1920,1080
1CRN  Crambin,327,337,75,4.55496,0.142916,0.381125,1.01592,0.442874,0.2655,0.37925,2.62758,1920,1080
1CRN  Crambin,327,337,76,4.71908,0.329583,0.373584,1.00867,0.375251,0.246624,0.378126,2.71183,1920,1080
1CRN  Crambin,327,337,77,4.56212,0.33025,0.373126,1.06675,0.434958,0.248916,0.38625,2.84025,1920,1080
1CRN  Crambin,327,337,78,4.60017,0.31325,0.368375,0.939874,0.308916,0.243999,0.378959,2.55337,1920,1080
1CRN  Crambin,327,337,79,5.32954,0.38975,0.381458,1.0165,0.4445,0.23675,0.381499,2.85046,1920,1080
1CRN  Crambin,327,337,80,4.51675,0.397667,0.329375,0.940917,0.452583,0.246625,0.401667,2.76883,1920,1080
1CRN  Crambin,327,337,81,4.55017,0.331042,0.362624,0.951126,0.449416,0.25025,0.384749,2.72921,1920,1080
1CRN  Crambin,327,337,82,4.50612,0.003376,0.4665,0.984125,0.445958,0.212376,0.377292,2.48963,1920,1080
1CRN  Crambin,327,337,83,4.66858,0.339208,0.34225,0.939375,0.436251,0.246624,0.382458,2.68617,1920,1080
1CRN  Crambin,327,337,84,4.49029,0.338333,0.358874,1.06475,0.452,0.24425,0.380624,2.83883,1920,1080
1CRN  Crambin,327,337,85,4.62921,0.349625,0.356542,0.932041,0.417501,0.188126,0.384,2.62784,1920,1080
1CRN  Crambin,327,337,86,5.47042,0.334666,0.371625,0.944624,0.448375,0.242876,0.377584,2.71975,1920,1080
1CRN  Crambin,327,337,87,4.51446,0.327625,0.35625,0.947709,0.442459,0.255542,0.385709,2.71529,1920,1080
1CRN  Crambin,327,337,88,4.50179,0.344667,0.376999,0.940751,0.454292,0.252959,0.3815,2.75117,1920,1080
1CRN  Crambin,327,337,89,4.54162,0.308917,0.302125,0.948875,0.438125,0.252625,0.382334,2.633,1920,1080
1CRN  Crambin,327,337,90,4.76633,0.389,0.371417,0.972499,0.443125,0.2475,0.378583,2.80212,1920,1080
1CRN  Crambin,327,337,91,4.56854,0.33475,0.374875,0.953459,0.659584,0.269959,0.383041,2.97567,1920,1080
1CRN  Crambin,327,337,92,4.56454,0.392625,0.385208,0.971041,0.44125,0.251375,0.378584,2.82008,1920,1080
