molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,4.62237,0,0.520791,1.44087,0.446084,0.471875,0.383292,3.26292,1920,1080
1CRN  Crambin,327,337,1,5.13846,0,0.459874,1.49579,0.411875,0.469916,0.178709,3.01617,1920,1080
1CRN  Crambin,327,337,2,4.44021,0,0.531459,1.61292,0.440624,0.473501,0.405499,3.464,1920,1080
1CRN  Crambin,327,337,3,4.88483,0,0.364959,1.40687,0.392626,0.50675,0.172166,2.84337,1920,1080
1CRN  Crambin,327,337,4,4.81663,0,0.5865,1.39217,0.446749,0.45975,0.379874,3.26504,1920,1080
1CRN  Crambin,327,337,5,4.84508,0,0.459999,1.471,0.351875,0.529083,0.223625,3.03558,1920,1080
1CRN  Crambin,327,337,6,4.77804,0,0.399876,1.28163,0.480875,0.47125,0.403374,3.037,1920,1080
1CRN  Crambin,327,337,7,6.64883,0,0.603376,1.47675,0.434667,0.51025,0.173917,3.19896,1920,1080
1CRN  Crambin,327,337,8,4.78175,0,0.536875,1.34512,0.4255,0.459625,0.391084,3.15821,1920,1080
1CRN  Crambin,327,337,9,5.16296,0,0.364625,1.26717,0.407667,0.53525,0.170249,2.74496,1920,1080
1CRN  Crambin,327,337,10,4.69058,0,0.461625,1.37625,0.461334,0.475125,0.395376,3.16971,1920,1080
1CRN  Crambin,327,337,11,4.96008,0,0.532126,1.38625,0.394625,0.519166,0.181625,3.01379,1920,1080
1CRN  Crambin,327,337,12,4.54092,0,0.403917,1.39229,0.46175,0.480249,0.398125,3.13633,1920,1080
1CRN  Crambin,327,337,13,4.89683,0,0.487375,1.40329,0.39125,0.509875,0.1795,2.97129,1920,1080
1CRN  Crambin,327,337,14,4.98038,0,0.400626,1.25683,0.454251,0.497959,0.39925,3.00892,1920,1080
1CRN  Crambin,327,337,15,5.02388,0,0.539249,1.29425,0.385417,0.552583,0.169624,2.94112,1920,1080
1CRN  Crambin,327,337,16,4.65729,0,0.456251,1.24725,0.4935,0.492125,0.396417,3.08554,1920,1080
1CRN  Crambin,327,337,17,6.305,0,0.483958,1.30533,0.391875,0.5405,0.170916,2.89258,1920,1080
1CRN  Crambin,327,337,18,4.75329,0,0.39,1.25333,0.49075,0.501667,0.410291,3.04604,1920,1080
1CRN  Crambin,327,337,19,4.87029,0,0.528416,1.32058,0.42125,0.561792,0.195,3.02704,1920,1080
1CRN  Crambin,327,337,20,4.54437,0,0.395166,1.27212,0.427584,0.4805,0.384125,2.9595,1920,1080
1CRN  Crambin,327,337,21,5.02246,0,0.474834,1.35312,0.376875,0.512083,0.17425,2.89117,1920,1080
1CRN  Crambin,327,337,22,4.48613,0,0.563833,1.36538,0.456125,0.477208,0.39175,3.25429,1920,1080
1CRN  Crambin,327,337,23,4.92642,0,0.489416,1.21587,0.319083,0.512833,0.172916,2.71012,1920,1080
1CRN  Crambin,327,337,24,5.033,0,0.43625,1.23962,0.514166,0.506208,0.405458,3.10171,1920,1080
1CRN  Crambin,327,337,25,4.78308,0,0.452834,1.31437,0.381709,0.526958,0.175375,2.85125,1920,1080
1CRN  Crambin,327,337,26,4.55958,0,0.308625,1.19292,0.449626,0.462291,0.392333,2.80579,1920,1080
1CRN  Crambin,327,337,27,4.75113,0,0.552834,1.35179,0.410501,0.526124,0.179251,3.0205,1920,1080
1CRN  Crambin,327,337,28,4.51487,0,0.378124,1.288,0.452959,0.479499,0.385333,2.98392,1920,1080
1CRN  Crambin,327,337,29,4.64271,0,0.432583,1.37929,0.357042,0.509874,0.172125,2.85091,1920,1080
1CRN  Crambin,327,337,30,4.72808,0,0.344,1.17021,0.397459,0.464541,0.381125,2.75733,1920,1080
1CRN  Crambin,327,337,31,5.84496,0,0.392041,1.31987,0.358499,0.540542,0.203249,2.81421,1920,1080
1CRN  Crambin,327,337,32,4.38075,0,0.557749,1.24208,0.517708,0.488125,0.399292,3.20496,1920,1080
1CRN  Crambin,327,337,33,4.7425,0,0.462125,1.22529,0.3585,0.504126,0.005166,2.55521,1920,1080
1CRN  Crambin,327,337,34,4.39917,0,0.369791,1.29175,0.404125,0.451084,0.377875,2.89462,1920,1080
1CRN  Crambin,327,337,35,4.721,0,0.389917,1.28646,0.34425,0.496,0.144375,2.661,1920,1080
1CRN  Crambin,327,337,36,4.32108,0,0.366916,1.32112,0.43575,0.456,0.385,2.96479,1920,1080
1CRN  Crambin,327,337,37,4.81687,0,0.355541,1.25487,0.394751,0.520875,0.166001,2.69204,1920,1080
1CRN  Crambin,327,337,38,5.31117,0,0.376292,1.25275,0.436166,0.412417,0.375876,2.8535,1920,1080
1CRN  Crambin,327,337,39,4.67079,0,0.353084,1.23863,0.347125,0.517417,0.156083,2.61234,1920,1080
1CRN  Crambin,327,337,40,4.55321,0,0.369791,1.16313,0.445208,0.46,0.382167,2.82029,1920,1080
1CRN  Crambin,327,337,41,4.60317,0,0.433625,1.30979,0.351625,0.495416,0.102749,2.69321,1920,1080
1CRN  Crambin,327,337,42,4.495,0,0.3395,1.19192,0.408041,0.446958,0.39475,2.78117,1920,1080
1CRN  Crambin,327,337,43,4.80125,0,0.355667,1.21362,0.419874,0.515208,0.185084,2.68946,1920,1080
1CRN  Crambin,327,337,44,4.36113,0,0.408709,1.17887,0.435,0.443083,0.392124,2.85779,1920,1080
1CRN  Crambin,327,337,45,5.79342,0,0.308251,1.24796,0.341583,0.493376,0.16725,2.55842,1920,1080
1CRN  Crambin,327,337,46,4.29125,0,0.353999,1.19275,0.425166,0.463583,0.382999,2.8185,1920,1080
1CRN  Crambin,327,337,47,4.70271,0,0.32525,1.24125,0.336876,0.494626,0.147833,2.54583,1920,1080
1CRN  Crambin,327,337,48,4.31046,0,0.489709,1.1705,0.454916,0.452374,0.380959,2.94846,1920,1080
1CRN  Crambin,327,337,49,4.83033,0,0.317874,1.24087,0.339959,0.49,0.1635,2.55221,1920,1080
1CRN  Crambin,327,337,50,4.29604,0,0.3335,1.16867,0.605584,0.505125,0.400583,3.01346,1920,1080
1CRN  Crambin,327,337,51,4.60596,0,0.511499,1.242,0.315916,0.476875,0.151584,2.69787,1920,1080
1CRN  Crambin,327,337,52,6.02033,0,0.309625,1.18962,0.43675,0.457001,0.373125,2.76613,1920,1080
1CRN  Crambin,327,337,53,4.63575,0,0.29125,1.23842,0.331,0.499125,0.1345,2.49429,1920,1080
