molecule,atoms,bonds,frame,cpu_ms,shadow_ms,geometry_ms,ssao_ms,lighting_ms,silhouette_ms,composite_ms,gpu_total_ms,fb_w,fb_h
1CRN  Crambin,327,337,0,4.66204,0.524249,0.546333,0,0.7425,0.458499,0.404958,2.67654,1920,1080
1CRN  Crambin,327,337,1,4.20529,0.117292,0.711374,0,0.767375,0.400209,0.40825,2.4045,1920,1080
1CRN  Crambin,327,337,2,4.38625,0.469375,0.467,0,0.698208,0.454209,0.396999,2.48579,1920,1080
1CRN  Crambin,327,337,3,4.35521,0.164792,0.692875,0,0.751751,0.460791,0.380458,2.45067,1920,1080
1CRN  Crambin,327,337,4,4.44958,0.501209,0.5455,0,0.766833,0.443167,0.382666,2.63937,1920,1080
1CRN  Crambin,327,337,5,4.11217,0.61575,0.537,0,0.756875,0.45875,0.374625,2.743,1920,1080
1CRN  Crambin,327,337,6,4.41463,0.47,0.4675,0,0.715042,0.350375,0.382084,2.385,1920,1080
1CRN  Crambin,327,337,7,5.427,0.4625,0.552291,0,0.754625,0.4245,0.382083,2.576,1920,1080
1CRN  Crambin,327,337,8,4.35508,0.467751,0.520792,0,0.740126,0.447874,0.383958,2.5605,1920,1080
1CRN  Crambin,327,337,9,4.01825,0.411374,0.532083,0,0.705959,0.463792,0.381041,2.49425,1920,1080
1CRN  Crambin,327,337,10,3.98617,0.477084,0.442251,0,0.736374,0.460833,0.377708,2.49425,1920,1080
1CRN  Crambin,327,337,11,4.44729,0.476374,0.469875,0,0.729042,0.450751,0.37375,2.49979,1920,1080
1CRN  Crambin,327,337,12,3.88687,0.420375,0.474541,0,0.700459,0.466126,0.384375,2.44588,1920,1080
1CRN  Crambin,327,337,13,3.97267,0.362749,0.417126,0,0.693374,0.461292,0.373251,2.30779,1920,1080
1CRN  Crambin,327,337,14,4.067,0.432166,0.43475,0,0.724499,0.457208,0.3775,2.42612,1920,1080
1CRN  Crambin,327,337,15,5.511,0.417584,0.469667,0,0.724375,0.477875,0.408125,2.49763,1920,1080
1CRN  Crambin,327,337,16,4.038,0.477541,0.473833,0,0.72125,0.462291,0.383666,2.51858,1920,1080
1CRN  Crambin,327,337,17,4.01742,0.315792,0.413541,0,0.700458,0.452626,0.380958,2.26337,1920,1080
1CRN  Crambin,327,337,18,4.07467,0.3625,0.517459,0,0.737875,0.447501,0.377001,2.44234,1920,1080
1CRN  Crambin,327,337,19,5.37158,0.469501,0.469167,0,0.743874,0.452292,0.382875,2.51771,1920,1080
1CRN  Crambin,327,337,20,4.22163,0.507375,0.475626,0,0.731291,0.4805,0.393459,2.58825,1920,1080
1CRN  Crambin,327,337,21,4.12158,0.374249,0.412625,0,0.679541,0.465291,0.441625,2.37333,1920,1080
1CRN  Crambin,327,337,22,4.16062,0.465167,0.453834,0,0.733459,0.463916,0.387749,2.50412,1920,1080
1CRN  Crambin,327,337,23,4.34321,0.50775,0.475541,0,0.723917,0.461126,0.378875,2.54721,1920,1080
1CRN  Crambin,327,337,24,3.96088,0.483666,0.487375,0,0.758875,0.554375,0.397001,2.68129,1920,1080
1CRN  Crambin,327,337,25,3.96129,0.437709,0.42425,0,0.676333,0.463541,0.487917,2.48975,1920,1080
1CRN  Crambin,327,337,26,4.14683,0.468375,0.474001,0,0.712376,0.477916,0.378876,2.51154,1920,1080
1CRN  Crambin,327,337,27,4.37246,0.431375,0.490333,0,0.725042,0.487749,0.409375,2.54387,1920,1080
1CRN  Crambin,327,337,28,3.97887,0.443791,0.4885,0,0.757124,0.616124,0.385,2.69054,1920,1080
1CRN  Crambin,327,337,29,3.938,0.412792,0.426459,0,0.70825,0.480833,0.385458,2.41379,1920,1080
1CRN  Crambin,327,337,30,3.94517,0.41875,0.390375,0,0.683626,0.458625,0.403209,2.35459,1920,1080
1CRN  Crambin,327,337,31,4.09317,0.325875,0.417625,0,0.693583,0.457541,0.395875,2.2905,1920,1080
1CRN  Crambin,327,337,32,4.0095,0.343916,0.390041,0,0.6995,0.497,0.4875,2.41796,1920,1080
1CRN  Crambin,327,337,33,4.00442,0.415541,0.366834,0,0.739249,0.478666,0.381334,2.38162,1920,1080
1CRN  Crambin,327,337,34,3.77804,0.219291,0.362541,0,0.68525,0.459,0.383916,2.11,1920,1080
1CRN  Crambin,327,337,35,4.45383,0.296125,0.352,0,0.685751,0.438791,0.383583,2.15625,1920,1080
1CRN  Crambin,327,337,36,3.84692,0.329209,0.3605,0,0.706875,0.473125,0.402,2.27171,1920,1080
1CRN  Crambin,327,337,37,3.746,0.2945,0.394,0,0.730375,0.443875,0.404834,2.26758,1920,1080
1CRN  Crambin,327,337,38,3.75954,0.324333,0.360541,0,0.661125,0.482292,0.378791,2.20708,1920,1080
1CRN  Crambin,327,337,39,4.97654,0.293208,0.330916,0,0.678375,0.460291,0.381584,2.14437,1920,1080
1CRN  Crambin,327,337,40,3.85017,0.299625,0.347499,0,0.7415,0.482709,0.40075,2.27208,1920,1080
1CRN  Crambin,327,337,41,3.81008,0.336167,0.338125,0,0.7105,0.475833,0.411833,2.27246,1920,1080
1CRN  Crambin,327,337,42,3.87833,0.323541,0.351709,0,0.741001,0.443749,0.397374,2.25737,1920,1080
1CRN  Crambin,327,337,43,5.06175,0.325501,0.338874,0,0.672542,0.466749,0.378666,2.18233,1920,1080
1CRN  Crambin,327,337,44,3.68679,0.312666,0.353501,0,0.676917,0.47025,0.387,2.20033,1920,1080
1CRN  Crambin,327,337,45,3.87446,0.351167,0.34325,0,0.665083,0.475709,0.376876,2.21209,1920,1080
1CRN  Crambin,327,337,46,4.05696,0.320584,0.349124,0,0.727792,0.452042,0.389749,2.23929,1920,1080
1CRN  Crambin,327,337,47,5.05429,0.344501,0.367,0,0.783209,0.480416,0.400834,2.37596,1920,1080
1CRN  Crambin,327,337,48,3.84833,0.324584,0.347334,0,0.720251,0.516,0.401041,2.30921,1920,1080
1CRN  Crambin,327,337,49,3.83842,0.352001,0.338167,0,0.693916,0.4765,0.382875,2.24346,1920,1080
1CRN  Crambin,327,337,50,3.83962,0.399208,0.357417,0,0.717666,0.454376,0.397874,2.32654,1920,1080
1CRN  Crambin,327,337,51,5.06617,0.298376,0.393833,0,0.72425,0.473208,0.402667,2.29233,1920,1080
1CRN  Crambin,327,337,52,3.76321,0.381375,0.38225,0,0.688292,0.480875,0.387916,2.32071,1920,1080
1CRN  Crambin,327,337,53,3.81288,0.335876,0.336625,0,0.674125,0.46825,0.3925,2.20738,1920,1080
1CRN  Crambin,327,337,54,3.76762,0.348917,0.340458,0,0.695125,0.451125,0.390625,2.22625,1920,1080
1CRN  Crambin,327,337,55,5.23283,0.328625,0.3495,0,0.690125,0.466042,0.377041,2.21133,1920,1080
1CRN  Crambin,327,337,56,3.79567,0.304959,0.352625,0,0.684833,0.468209,0.386376,2.197,1920,1080
1CRN  Crambin,327,337,57,3.82554,0.3095,0.353999,0,0.693833,0.448,0.37825,2.18358,1920,1080
1CRN  Crambin,327,337,58,3.80554,0.211291,0.342917,0,0.686499,0.463708,0.400916,2.10533,1920,1080
1CRN  Crambin,327,337,59,5.28379,0.329625,0.350208,0,0.6835,0.463833,0.392875,2.22004,1920,1080
1CRN  Crambin,327,337,60,3.84683,0.315584,0.354833,0,0.693958,0.434834,0.411625,2.21083,1920,1080
1CRN  Crambin,327,337,61,3.68929,0.270834,0.378166,0,0.668166,0.440208,0.374542,2.13192,1920,1080
1CRN  Crambin,327,337,62,3.92154,0.387624,0.34675,0,0.676375,0.4465,0.3975,2.25475,1920,1080
1CRN  Crambin,327,337,63,5.69913,0.405833,0.33075,0,0.614125,0.452125,0.398666,2.2015,1920,1080
1CRN  Crambin,327,337,64,3.80729,0.326083,0.373375,0,0.6705,0.456251,0.384041,2.21025,1920,1080
1CRN  Crambin,327,337,65,3.66817,0.345251,0.331374,0,0.677251,0.463249,0.372875,2.19,1920,1080
1CRN  Crambin,327,337,66,3.75654,0.344625,0.268458,0,0.667251,0.462042,0.3735,2.11588,1920,1080
1CRN  Crambin,327,337,67,5.19763,0.346334,0.325041,0,0.665125,0.44575,0.373875,2.15612,1920,1080
1CRN  Crambin,327,337,68,3.85258,0.270874,0.331124,0,0.666376,0.453125,0.402626,2.12413,1920,1080
1CRN  Crambin,327,337,69,3.69046,0.334626,0.323499,0,0.686291,0.460833,0.384,2.18925,1920,1080
1CRN  Crambin,327,337,70,3.81021,0.295167,0.254166,0,0.660584,0.452374,0.380749,2.04304,1920,1080
1CRN  Crambin,327,337,71,4.94763,0.282291,0.3905,0,0.704584,0.445792,0.395999,2.21917,1920,1080
1CRN  Crambin,327,337,72,3.81913,0.345833,0.328583,0,0.666709,0.450749,0.389125,2.181,1920,1080
1CRN  Crambin,327,337,73,3.71129,0.352416,0.328167,0,0.669,0.453167,0.374751,2.1775,1920,1080
1CRN  Crambin,327,337,74,3.79825,0.337834,0.322376,0,0.676124,0.451916,0.378542,2.16679,1920,1080
1CRN  Crambin,327,337,75,6.14388,0.317292,0.344333,0,0.67775,0.443917,0.370459,2.15375,1920,1080
1CRN  Crambin,327,337,76,3.75017,0.31275,0.335625,0,0.687875,0.424624,0.389,2.14987,1920,1080
1CRN  Crambin,327,337,77,3.77671,0.292624,0.323,0,0.687,0.434917,0.375124,2.11266,1920,1080
1CRN  Crambin,327,337,78,3.72808,0.12575,0.371125,0,0.659458,0.457249,0.378791,1.99237,1920,1080
1CRN  Crambin,327,337,79,5.12467,0.321,0.337876,0,0.66,0.448041,0.372126,2.13904,1920,1080
1CRN  Crambin,327,337,80,3.70383,0.2515,0.373124,0,0.687749,0.475625,0.40175,2.18975,1920,1080
1CRN  Crambin,327,337,81,3.70921,0.292626,0.334334,0,0.649001,0.449959,0.3915,2.11742,1920,1080
