molecule,atoms,bonds,parse_ms,bond_ms,total_ms
1CRN,327,337,0.437565,0.510061,0.947626
1UBQ,660,608,0.759339,1.999,2.75834
1MBN,1260,1298,1.33493,7.2838,8.61873
1AON,58870,59307,37.9734,13416.8,13454.7
1FFK,64281,67866,42.7593,17757,17799.7
1GFL,3950,3738,3.035,62.0967,65.1317
1HHP,758,771,0.800798,2.38846,3.18925
2INS,964,810,1.10427,3.55744,4.66171
2LYZ,1102,1037,1.08077,5.0561,6.13686
3HHB,4612,4704,3.54593,87.463,91.009
4HHB,4779,4633,3.95523,94.3887,98.3439
